,median,mean,std,min,max
TRIM44,0.0,3.9757983e-06,0.00014792022,-0.0007925752,0.00082959543
SLC25A27,-0.0,-1.0125176e-06,5.5806275e-05,-0.00037290316,0.00039018545
USP25,0.0,-2.4238769e-05,0.00020171389,-0.0013070375,0.0007495862
AGPS,-0.0,-1.3186602e-06,0.0002225744,-0.0012612625,0.0015710475
NFE2L2,0.0,3.2138523e-05,0.0006980104,-0.0016279329,0.010691407
MYLK4,0.0,-4.902035e-06,0.00013417086,-0.00088271935,0.0005838532
PRL,0.0,-1.1402478e-05,9.116794e-05,-0.0011713695,0.0003202925
SLC27A6,-1.7898432e-05,-1.2008127e-05,0.0010116315,-0.0040631015,0.00295487
SEMA3A,0.0,8.87063e-05,0.0015425362,-0.0048467377,0.006863122
FSTL4,0.0,3.716858e-05,0.00044425193,-0.0021189789,0.0018033189
XIRP2,1.795979e-06,6.9483736e-05,0.00083196815,-0.0026561504,0.0027099738
GRID2IP,0.0,-3.5227038e-06,0.0001223666,-0.0008487549,0.00083412963
CHRNB2,0.0,-1.2655054e-06,8.558497e-05,-0.00067215244,0.00092673756
ZNF131,-0.0,7.5832355e-07,0.0001790014,-0.00058785436,0.0015130972
PKHD1,-0.0,-7.69201e-05,0.00045232085,-0.002425825,0.0018418455
ATCAY,0.0,-9.694046e-06,7.5526375e-05,-0.0006248047,0.00046697928
RADIL,0.0,1.2339352e-05,0.00019555753,-0.0010980414,0.000998196
RXRG,-0.0,-3.50169e-06,8.680115e-05,-0.00040529022,0.0005867209
HTR1B,0.0,3.00233e-07,4.2232834e-05,-0.00027854077,0.00033230803
INSIG1,0.0,4.327589e-06,9.5525975e-05,-0.0008275026,0.0005472765
BSN,0.0,-5.9863028e-06,0.00015233096,-0.0006024666,0.00079860934
TACR2,0.0,3.0587357e-06,7.7090255e-05,-0.00043251397,0.00087416614
SPTBN4,-0.0,-1.2686339e-06,0.0001480163,-0.0016823827,0.0004895108
ADGRF4,0.0,6.6678365e-07,0.00012638817,-0.0006943172,0.0005712264
ZNF671,0.0,-4.6467343e-07,3.76456e-05,-0.00026248267,0.00033146824
ZNF551,-0.0,-1.1207096e-05,0.00017276058,-0.002094717,0.00055568654
SLC26A7,0.0,1.2650934e-05,0.00039756007,-0.002145981,0.0017783782
KBTBD3,0.0,-1.721235e-07,5.947898e-05,-0.00040304745,0.00040251244
OR2L13,0.0,5.4957593e-05,0.0006015231,-0.0020318658,0.0045039947
RHCG,-0.0,7.0420924e-06,9.08503e-05,-0.00049668073,0.0010913218
TTC3,-0.0,-5.587021e-06,0.00012787156,-0.0004439915,0.00073172577
LINGO2,0.0,2.7740616e-05,0.001387922,-0.0043795058,0.0040924298
PLD5,-1.8258706e-05,-2.1804455e-05,0.0010050472,-0.0032911045,0.0038106898
COL4A2,0.0,2.3916434e-06,0.00027373756,-0.0010850278,0.0010195
FREM2,0.0,-6.907013e-05,0.00039944868,-0.0024610101,0.0013255138
AGPAT3,0.0,8.9534376e-07,0.00013025657,-0.00069839647,0.0007277523
MUC6,0.0,-7.688474e-07,4.249041e-05,-0.0004268081,0.00042674516
WIPI2,0.0,-3.4768814e-06,8.041919e-05,-0.00052737794,0.0005917987
ARHGEF17,0.0,1.3183586e-05,0.00016119235,-0.00052581535,0.0022029437
CDKN1A,0.0,8.094712e-06,8.0157704e-05,-0.0006180628,0.0008207918
ACADVL,0.0,2.1730978e-06,3.395136e-05,-0.00016111207,0.0003631113
DVL2,-0.0,1.1731227e-06,3.7056725e-05,-0.00033985908,0.00030261485
DLG4,0.0,6.484957e-06,7.696642e-05,-0.0003696365,0.00113785
FIGNL1,0.0,-2.0646091e-06,5.7045385e-05,-0.000504238,0.00061526307
MCM7,-0.0,3.4845584e-06,0.00010475492,-0.0002808489,0.001660525
AP4M1,0.0,1.3995146e-05,0.00044971984,-0.0033352291,0.0066875294
TMC7,-0.0,6.4765945e-06,0.00017397924,-0.00053618156,0.0021377346
PCNX2,0.0,-2.2898077e-05,0.00040881083,-0.0016436536,0.0020578424
ADAP1,-0.0,-4.14174e-06,0.00010321486,-0.0006281838,0.0004706412
COX19,0.0,1.131428e-05,0.00011596635,-0.00078958884,0.0008208955
MALT1,0.0,-1.0550114e-05,0.00011865034,-0.00064121716,0.0005390463
IQGAP1,0.0,-1.2176306e-06,0.0001628608,-0.001287073,0.0008415808
TRPM2,-0.0,1.8378729e-05,0.00017492822,-0.0009635703,0.0014816496
YES1,0.0,4.0463536e-07,0.00014844452,-0.0007852467,0.0011211853
LAMA1,-0.0,2.2553384e-05,0.0003307866,-0.0012901546,0.0021327904
TNKS1BP1,0.0,-7.745617e-06,5.89946e-05,-0.0005672445,0.00020859402
AP1S3,0.0,1.0674359e-05,0.00017697173,-0.0009992481,0.0010070275
ACOX3,0.0,1.8268311e-06,0.00016575673,-0.001207108,0.0015282589
RRP7A,0.0,-1.5284406e-06,6.4481894e-05,-0.00055998535,0.00056263694
COL6A6,0.0,-7.046075e-06,0.00022666884,-0.001229447,0.0009958748
GRM2,0.0,2.6995535e-06,3.8426515e-05,-0.00027992492,0.00047285677
KLHDC1,0.0,1.0248178e-05,8.368376e-05,-0.00041560087,0.0006803521
LINC00692,0.0,3.1421218e-06,8.20167e-05,-0.00044091672,0.00056354096
ELL2,-0.0,3.6570107e-06,0.00018931937,-0.001060356,0.0015551054
OR8B8,0.0,9.072154e-07,4.328639e-05,-0.00032320665,0.00031158494
GPHN,0.0,-4.048471e-05,0.00068932585,-0.0032983941,0.002096593
AMIGO3,0.0,-8.999168e-07,4.0881423e-05,-0.00028666537,0.00025919857
RNF123,0.0,-6.368531e-06,9.6591044e-05,-0.00080923626,0.00033987212
GMPPB,0.0,-1.3339497e-06,6.658618e-05,-0.0004947947,0.0005597604
