,median,mean,std,min,max
TRIM44,-0.0,-3.956318e-05,0.00016681149,-0.000616494,0.0005528203
SLC25A27,-0.0,1.3749225e-05,8.832618e-05,-0.00014960198,0.00044545063
USP25,-0.0,-1.7044322e-05,0.00032406827,-0.0014205213,0.0011165057
AGPS,-0.0,-4.4118085e-05,0.00017149557,-0.0007002689,0.00016829779
NFE2L2,-0.0,-3.5538596e-05,0.00023868123,-0.0005486959,0.00071640714
MYLK4,-0.0,5.402871e-06,0.00021793658,-0.0009810098,0.0005332107
PRL,0.0,-1.3580344e-05,7.1818016e-05,-0.00029401403,0.000119587916
SLC27A6,0.0,-8.2493625e-06,0.0005755359,-0.0011471126,0.0012247872
SEMA3A,-0.0,-7.0478134e-05,0.0005187463,-0.0017557704,0.0009809202
FSTL4,-0.0,-2.5464557e-05,0.00036644036,-0.0007463935,0.0008781417
XIRP2,0.0,-3.0249661e-05,0.00053464464,-0.0022341786,0.0016722645
GRID2IP,-0.0,-1.8161089e-05,0.00011166583,-0.00040201188,0.00039269455
CHRNB2,0.0,-1.8054456e-05,8.1243496e-05,-0.00036644895,0.00010632944
ZNF131,0.0,-1.3949335e-05,0.00013581019,-0.00039411226,0.0005113018
PKHD1,0.0,1.463321e-05,0.0008134053,-0.0033213755,0.0014450036
ATCAY,0.0,4.4735094e-05,0.00012797823,-1.8965131e-05,0.0006639704
RADIL,-0.0,-1.0857685e-05,0.0001036455,-0.00038170387,0.00033021168
RXRG,0.0,1.3175984e-05,0.00013836409,-0.00032793157,0.0006329017
HTR1B,-0.0,0.0,0.0,-0.0,-0.0
INSIG1,0.0,-3.0149859e-06,4.1668325e-05,-0.00024077707,8.115311e-05
BSN,0.0,-3.001228e-05,0.0002539979,-0.0009134727,0.00086874067
TACR2,-0.0,-6.7569513e-06,3.378361e-05,-0.00014892641,3.3273616e-05
SPTBN4,-0.0,0.00011300849,0.00036613698,-0.000310441,0.0017945543
ADGRF4,-0.0,-1.6468777e-05,9.115486e-05,-0.0005018142,0.000109549444
ZNF671,0.0,1.9595798e-05,0.000115004266,-0.0,0.00071792695
ZNF551,-0.0,-4.1918884e-06,3.0357927e-05,-0.00018558747,3.3626795e-05
SLC26A7,-0.0,-2.4141566e-05,0.00026823024,-0.0010326997,0.0009869888
KBTBD3,-0.0,-1.3019317e-05,6.1651794e-05,-0.00035908984,0.0
OR2L13,-0.0,0.00010995373,0.0005406351,-0.0010068559,0.0026248659
RHCG,-0.0,7.673735e-06,6.37899e-05,-0.00026072745,0.00023378665
TTC3,-0.0,1.955217e-06,0.00014809414,-0.0005782285,0.0006013296
LINGO2,0.0002409886,0.00028442955,0.001062446,-0.0030151722,0.0023668604
PLD5,0.0,-0.00014424592,0.0012300451,-0.003818795,0.0026547166
COL4A2,-0.0,-1.8888375e-05,0.0003899075,-0.0013560449,0.0015062866
FREM2,0.0,-8.661864e-06,0.000142561,-0.00045619413,0.00034590365
AGPAT3,0.0,-2.2590779e-05,9.627141e-05,-0.00030150855,0.00016389268
MUC6,-0.0,-6.983166e-06,0.0001587849,-0.0008154716,0.0005431281
WIPI2,-0.0,3.3712927e-06,0.00011564979,-0.0002555747,0.00062275014
ARHGEF17,0.0,-1.0654993e-05,0.0001734363,-0.0006560542,0.0005687646
CDKN1A,-0.0,-1.39133235e-05,5.8649144e-05,-0.00033237765,2.2945838e-05
ACADVL,-0.0,3.6892407e-06,2.7795415e-05,-6.553089e-05,0.0001541362
DVL2,-0.0,-2.5593883e-06,3.6443285e-05,-0.0002110002,5.888761e-05
DLG4,0.0,-1.7685306e-05,7.4682626e-05,-0.0003124182,0.00014637588
FIGNL1,0.0,1.3566058e-05,5.9565675e-05,0.0,0.00029650054
MCM7,0.0,-5.8264736e-06,3.6386304e-05,-0.00022723246,0.0
AP4M1,0.0,1.1610709e-05,4.6611305e-05,0.0,0.0002592173
TMC7,-0.0,-4.1512958e-05,0.00023128814,-0.0010970456,0.00058337447
PCNX2,-0.0,2.748957e-05,0.00022867483,-0.000639114,0.00058717915
ADAP1,0.0,1.548936e-05,0.00017370832,-0.0005596153,0.00043826184
COX19,0.0,-4.0990553e-06,0.00025419748,-0.00066528784,0.0005659512
MALT1,-0.0,-4.2361676e-06,8.0994e-05,-0.0004263594,0.00026114885
IQGAP1,-0.0,4.6339257e-05,0.00038805284,-0.0005222645,0.0022789284
TRPM2,0.0,-4.3696167e-05,0.0002767106,-0.0015757675,0.00051746704
YES1,0.0,-1.1518054e-05,0.00018499799,-0.00072098215,0.00071353983
LAMA1,-0.0,6.930184e-06,0.00015436512,-0.0005543038,0.0003755609
