,median,mean,std,min,max
TRIM44,-0.0,-2.0754316e-05,0.00012961068,-0.0008094183,-0.0
SLC25A27,0.0,0.0,0.0,0.0,0.0
USP25,0.0,0.0,0.0,-0.0,-0.0
AGPS,0.0,8.1981416e-05,0.001189099,-0.0030353644,0.0060324944
NFE2L2,0.0,0.0,0.0,0.0,0.0
MYLK4,0.0,9.833234e-05,0.000641326,-0.00016254174,0.003997503
PRL,0.0,0.0,0.0,0.0,0.0
SLC27A6,0.0,-0.00034114125,0.0020621342,-0.010015572,0.0029602544
SEMA3A,-0.0,-0.00025916292,0.0011225608,-0.0052326326,0.0023917952
FSTL4,0.0,-4.664662e-06,2.9130808e-05,-0.00018192182,0.0
XIRP2,-0.0,-0.00019159295,0.00091012084,-0.0049306196,0.00036740775
GRID2IP,-0.0,0.0,0.0,-0.0,-0.0
CHRNB2,0.0,0.0,0.0,0.0,0.0
ZNF131,-0.0,0.00010127314,0.00063245057,0.0,0.0039496524
PKHD1,-0.0,5.434026e-05,0.0009999437,-0.005170297,0.0018472887
ATCAY,-0.0,0.0,0.0,0.0,0.0
RADIL,0.0,0.00013843348,0.00078938954,-0.00052220747,0.004728296
RXRG,0.0,0.0,0.0,-0.0,-0.0
HTR1B,0.0,0.0,0.0,0.0,0.0
INSIG1,0.0,0.0,0.0,-0.0,-0.0
BSN,0.0,-6.384367e-05,0.00065628916,-0.00383593,0.0013460271
TACR2,0.0,0.0,0.0,-0.0,-0.0
SPTBN4,-0.0,-0.0002528795,0.0012679817,-0.0057781474,0.001722695
ADGRF4,-0.0,0.0,0.0,0.0,0.0
ZNF671,-0.0,0.0,0.0,-0.0,-0.0
ZNF551,0.0,0.0,0.0,0.0,0.0
SLC26A7,-0.0,0.00019113463,0.00087068015,-0.0011226903,0.0044927406
KBTBD3,-0.0,0.0,0.0,-0.0,-0.0
OR2L13,-0.0,5.0744646e-05,0.00033974764,-0.0002457259,0.0020486575
RHCG,0.0,1.9002016e-05,0.000118667536,0.0,0.00074107863
TTC3,-0.0,0.0,0.0,-0.0,-0.0
LINGO2,-0.0,0.00016620672,0.0014123663,-0.0034069307,0.007278005
PLD5,0.0,1.3037541e-05,0.0018934772,-0.0081600435,0.0057715974
COL4A2,-0.0,0.00010409348,0.0012151488,-0.0051031513,0.0045909486
FREM2,-0.0,-9.697762e-05,0.00037720994,-0.0019242668,-0.0
AGPAT3,0.0,0.0002809467,0.0011653859,-0.0,0.0061864266
MUC6,0.0,0.0,0.0,0.0,0.0
WIPI2,-0.0,0.00011762807,0.0016315706,-0.0044580633,0.009045558
ARHGEF17,0.0,0.0,0.0,0.0,0.0
CDKN1A,-0.0,0.0,0.0,0.0,0.0
ACADVL,-0.0,0.0,0.0,0.0,0.0
DVL2,-0.0,0.0,0.0,-0.0,-0.0
DLG4,-0.0,0.0,0.0,-0.0,-0.0
FIGNL1,0.0,0.0,0.0,-0.0,-0.0
MCM7,-0.0,0.0,0.0,0.0,0.0
AP4M1,0.0,0.000103904815,0.00064888515,0.0,0.004052288
TMC7,0.0,2.4099914e-05,0.000150504,-0.0,0.0009398967
PCNX2,-0.0,0.0,0.0,0.0,0.0
ADAP1,-0.0,-1.2563637e-06,7.845992e-06,-4.8998183e-05,0.0
COX19,0.0,-5.8024943e-05,0.00036236574,-0.0022629728,-0.0
MALT1,-0.0,6.384853e-05,0.00059836305,-0.00218447,0.0023745736
