,median,mean,std,min,max
TRIM44,-0.0,-2.231964e-05,0.00014127156,-0.00081174535,0.00037231387
SLC25A27,0.0,9.660378e-06,5.6868645e-05,-3.4871566e-05,0.00043480404
USP25,-0.0,8.819096e-05,0.00037414941,-0.00035072086,0.0026198386
AGPS,-0.0,-3.760306e-05,0.0002553068,-0.0018293954,0.00030888853
NFE2L2,-0.0,0.00018160928,0.0013244069,-0.0014004926,0.010202285
MYLK4,-0.0,-6.56754e-06,7.318298e-05,-0.00026077984,0.00041683417
PRL,-0.0,-3.9513984e-06,5.6429028e-05,-0.0004263667,0.0001496502
SLC27A6,0.0,-0.00014321852,0.0009796895,-0.0069479556,0.0011043458
SEMA3A,0.0,9.518257e-05,0.0005740383,-0.0010681986,0.0017451583
FSTL4,0.0,-7.618935e-05,0.00043138972,-0.0027999803,0.0007181116
XIRP2,0.0,-0.00012649498,0.0009490363,-0.006079525,0.0022721651
GRID2IP,-0.0,0.00014809066,0.00081232557,-0.00092414074,0.005459392
CHRNB2,0.0,-6.580374e-07,1.6644399e-05,-0.000100081146,4.831579e-05
ZNF131,-0.0,1.2735105e-05,0.00033472656,-0.0007883697,0.0023627833
PKHD1,0.0,-5.198313e-05,0.00055964454,-0.0029346363,0.0009121412
ATCAY,-0.0,-2.3315956e-06,0.00024740217,-0.001196237,0.0009423147
RADIL,-0.0,-5.8372338e-05,0.00032595632,-0.0018108961,0.00082072016
RXRG,-0.0,8.765172e-06,8.6024935e-05,-0.00029049802,0.00030895718
HTR1B,-0.0,6.3191845e-07,4.4407166e-06,0.0,3.5866135e-05
INSIG1,0.0,2.5081303e-05,0.0001937642,-0.00027806408,0.0014612589
BSN,0.0,-2.128502e-05,0.00026020338,-0.0016864812,0.00052506005
TACR2,-0.0,0.0,0.0,0.0,0.0
SPTBN4,-0.0,-1.8985419e-06,0.00010822254,-0.00043150413,0.00044020405
ADGRF4,0.0,4.7396345e-05,0.0005375634,-0.0009458918,0.004278441
ZNF671,-0.0,-9.3579765e-06,8.508152e-05,-0.0006923573,6.5372915e-05
ZNF551,-0.0,-2.0280609e-06,0.00024845757,-0.0016234581,0.0009182357
