,median,mean,std,min,max
TRIM44,0.0,-2.7363314e-05,0.00031297703,-0.0026682701,0.000854195
SLC25A27,-0.0,1.2374673e-05,0.00014644934,-0.0006474514,0.00085788325
USP25,0.0,2.9059378e-05,0.00042420087,-0.0014522772,0.0024854122
AGPS,0.0,2.3281054e-05,0.00024500978,-0.0008442277,0.0018457914
NFE2L2,0.0,-2.0027278e-06,0.00022212298,-0.0011780544,0.0009282538
MYLK4,0.0,-7.1676063e-06,9.183995e-05,-0.0004920286,0.00037642932
PRL,-0.0,1.8481975e-05,0.00031274225,-0.0005508266,0.0027978134
SLC27A6,-0.0,-0.00029940944,0.0011745942,-0.0055283974,0.0025004882
SEMA3A,-0.00011813348,-0.00016675363,0.0022649448,-0.0074568195,0.0076878043
FSTL4,0.0,4.605949e-05,0.00038160503,-0.0010974542,0.0020320849
XIRP2,-0.0,3.3525277e-05,0.0006262554,-0.0018747102,0.0032340602
GRID2IP,-0.0,2.5691525e-06,6.9226786e-05,-0.00045223374,0.00035380945
CHRNB2,-0.0,-1.8881816e-06,1.7813067e-05,-0.00016804817,-0.0
ZNF131,-0.0,-3.0813196e-06,9.0173715e-05,-0.00057677773,0.00029613855
PKHD1,-0.0,-6.053974e-05,0.0005175348,-0.002408319,0.0013184961
ATCAY,0.0,7.729166e-06,4.921949e-05,-0.00016884036,0.0003572317
RADIL,-0.0,9.358824e-06,0.00014959635,-0.00038431102,0.0009494009
RXRG,-0.0,1.3085053e-05,9.391398e-05,-0.0002143577,0.00047250764
HTR1B,-0.0,-1.7031169e-06,2.6928297e-05,-0.00018303219,0.00014157675
INSIG1,-0.0,-1.3686017e-05,8.1972794e-05,-0.0005995722,4.657593e-05
BSN,-0.0,-1.0172519e-05,7.252003e-05,-0.0003668945,0.00020560886
TACR2,-0.0,-4.980978e-06,4.106359e-05,-0.0002740496,9.0254194e-05
SPTBN4,-0.0,-1.9157495e-05,0.00027897206,-0.0013013282,0.0016291029
ADGRF4,-0.0,1.3432484e-05,0.00013549655,-0.00026982915,0.0011425965
ZNF671,0.0,-5.420704e-06,0.00010523126,-0.00091516756,0.00036953445
ZNF551,-0.0,-3.0830913e-07,3.5228924e-05,-0.00019583627,0.00023213611
SLC26A7,0.0,-6.38526e-06,0.00039902361,-0.0022269578,0.00189765
KBTBD3,-0.0,-1.526443e-05,9.846923e-05,-0.00088848383,3.0471592e-05
OR2L13,-0.0,8.5138025e-05,0.00039384412,-0.00044602313,0.0027406914
RHCG,-0.0,-9.774341e-06,4.5950383e-05,-0.00031776493,2.356324e-05
TTC3,-0.0,-4.870936e-06,8.745208e-05,-0.00043904464,0.00040779207
LINGO2,-0.00030179205,-0.00019180766,0.0015207574,-0.0036005501,0.0037249222
PLD5,0.0,-0.00010596689,0.000735122,-0.0038696392,0.0012606689
COL4A2,-0.0,8.0919045e-07,0.00033729008,-0.0015392376,0.0016634866
FREM2,-0.0,7.4669742e-06,0.0003564731,-0.0011584072,0.001151587
AGPAT3,-0.0,1.4528284e-05,0.00022145231,-0.0005373522,0.0018626791
MUC6,0.0,-2.5505524e-05,0.00030183868,-0.0027649228,0.00046576574
WIPI2,0.0,7.030302e-06,8.7499626e-05,-0.00013174432,0.0007812195
ARHGEF17,-0.0,-1.440793e-05,7.170661e-05,-0.0005509059,2.0917385e-05
CDKN1A,0.0,-5.5024094e-07,4.103713e-05,-0.00033670527,0.00013300325
ACADVL,-0.0,4.539412e-07,4.2824727e-06,0.0,4.0400766e-05
DVL2,0.0,-2.9939968e-06,2.543356e-05,-0.00023863689,-0.0
DLG4,0.0,-3.1631166e-07,2.984076e-06,-2.8151737e-05,0.0
FIGNL1,-0.0,4.2597298e-07,3.416074e-05,-0.00013516318,0.00027289937
MCM7,-0.0,1.647676e-07,3.93353e-06,-1.7732642e-05,3.2396958e-05
AP4M1,-0.0,-1.1552664e-06,7.772563e-06,-6.140848e-05,-0.0
TMC7,0.0,-1.6294993e-05,0.00015762461,-0.0009839188,0.00046004448
PCNX2,-0.0,2.910281e-06,0.00017555704,-0.00043764603,0.0007631077
ADAP1,-0.0,-1.2246057e-05,7.462517e-05,-0.0005441594,0.00023644857
COX19,-0.0,3.1287e-06,8.4983345e-05,-0.00036784745,0.00043687658
MALT1,0.0,-1.1530982e-05,0.0001104038,-0.0009539283,0.00030067377
IQGAP1,-0.0,2.363308e-05,0.00018089922,-0.00038850395,0.0012073776
TRPM2,-0.0,-1.4555605e-05,0.0001393598,-0.0009213715,0.00044492507
YES1,0.0,-1.5219032e-05,0.00012577417,-0.0009846718,0.0002574009
LAMA1,-0.0,0.00010337024,0.0007343158,-0.002453646,0.0036355613
TNKS1BP1,0.0,-8.6030965e-08,8.1161437e-07,-7.656756e-06,0.0
AP1S3,0.0,2.5952684e-05,0.00013157885,-0.00028223623,0.0007721254
ACOX3,0.0,1.4345046e-05,0.00015725837,-0.00023488402,0.0013075115
