,median,mean,std,min,max
TRIM44,0.0,-1.50350725e-05,0.0001305397,-0.0010088378,0.00019066824
SLC25A27,0.0,2.0236716e-06,1.6062379e-05,0.0,0.00012749131
USP25,0.0,2.7696822e-07,4.595417e-05,-0.00027599823,0.00022322548
AGPS,-0.0,-1.7696773e-05,0.0004165261,-0.0016682295,0.0022281972
NFE2L2,0.0,4.6535934e-05,0.0002708185,-0.000111264875,0.0016651916
MYLK4,-0.0,1.5453124e-05,0.00021920948,-0.00092007616,0.0011219714
PRL,-0.0,-2.0113612e-06,0.0003500107,-0.0020111373,0.0018844216
SLC27A6,0.0,-0.0001630997,0.0011055683,-0.0037523403,0.0021131008
SEMA3A,-0.0,3.1467687e-05,0.0019277345,-0.009305255,0.0050850073
FSTL4,-0.0,-5.6262365e-05,0.00054237444,-0.0019819606,0.0021507642
XIRP2,-0.0,-4.2048065e-05,0.00085466035,-0.002357243,0.0037885774
GRID2IP,-0.0,1.13109045e-05,0.00019486617,-0.0006704692,0.0013830562
CHRNB2,-0.0,0.0,0.0,-0.0,-0.0
ZNF131,-0.0,-1.6299815e-05,0.00016693056,-0.0009222483,0.0006141639
PKHD1,0.0,-0.00012475683,0.0011449688,-0.005461621,0.0023421135
ATCAY,0.0,3.5909623e-05,0.00020657099,-2.652576e-05,0.0014883846
RADIL,-0.0,-6.528017e-05,0.00032953767,-0.0014109774,0.00076150114
RXRG,0.0,-3.4763667e-05,0.00015685415,-0.000942725,0.0002821156
HTR1B,0.0,-3.104772e-05,0.00033589028,-0.002571559,0.00066368293
INSIG1,-0.0,2.1707185e-05,0.00014907992,0.0,0.0011698441
BSN,-0.0,-7.4650025e-06,0.0003096503,-0.0016105063,0.0017351148
TACR2,0.0,2.3525554e-05,0.00018672826,0.0,0.0014821099
SPTBN4,0.0,-3.0399366e-05,0.0002460102,-0.001753081,0.0004995314
ADGRF4,-0.0,-1.1175645e-05,8.8703906e-05,-0.00070406566,0.0
ZNF671,-0.0,0.0,0.0,0.0,0.0
ZNF551,0.0,-7.962436e-06,0.00015298712,-0.001066074,0.00056444056
SLC26A7,0.0,1.6446029e-05,0.0003464275,-0.0010753747,0.0015170594
KBTBD3,-0.0,0.0,0.0,0.0,0.0
OR2L13,0.0,-3.6222387e-05,0.000343911,-0.0016830006,0.0016176241
RHCG,0.0,-2.3599819e-06,1.8731756e-05,-0.00014867885,-0.0
TTC3,-0.0,2.3980115e-06,0.0003888536,-0.0015921482,0.0024690323
LINGO2,0.0,0.0001699525,0.0015372043,-0.003529676,0.0067312946
PLD5,-0.0,-9.087292e-05,0.0006008303,-0.002526674,0.0010900437
COL4A2,-0.0,-0.00022576789,0.00058868935,-0.0024033892,0.00047229024
FREM2,0.0,2.3687144e-05,0.0008000257,-0.0047724675,0.002496072
AGPAT3,0.0,-1.31741235e-05,0.00019364592,-0.0011085276,0.0007845318
MUC6,-0.0,-2.977466e-06,2.3632892e-05,-0.00018758036,-0.0
WIPI2,0.0,3.1149818e-06,2.4724395e-05,0.0,0.00019624385
ARHGEF17,-0.0,-3.2307903e-06,0.00017469897,-0.0010692838,0.000865744
CDKN1A,-0.0,2.8397022e-05,0.0002253944,0.0,0.0017890123
ACADVL,0.0,0.0,0.0,0.0,0.0
DVL2,0.0,0.0,0.0,0.0,0.0
DLG4,0.0,0.0,0.0,0.0,0.0
FIGNL1,0.0,0.0,0.0,0.0,0.0
MCM7,0.0,0.0,0.0,-0.0,-0.0
AP4M1,0.0,0.0,0.0,0.0,0.0
TMC7,-0.0,-5.963604e-06,3.324914e-05,-0.00019795448,-0.0
PCNX2,-0.0,5.796516e-05,0.00038382786,-0.0006895512,0.0023506093
ADAP1,-0.0,6.0870266e-06,0.00011627802,-0.0005950541,0.00055152987
COX19,0.0,2.5191684e-05,0.00018015437,-0.00018124653,0.0013688542
MALT1,0.0,0.0,0.0,0.0,0.0
IQGAP1,-0.0,4.5058576e-05,0.00021619503,-0.00012478967,0.0012589857
TRPM2,0.0,3.2659063e-05,0.00024751236,0.0,0.0019638455
YES1,-0.0,7.282604e-05,0.0003592202,-0.00060954614,0.0021861228
