,median,mean,std,min,max
TRIM44,-0.0,2.033184e-06,0.0002382083,-0.0011235253,0.0015246919
SLC25A27,-0.0,-5.7820366e-06,8.226475e-05,-0.0012192833,-0.0
USP25,0.0,1.3849113e-05,0.00019644015,-0.0013467302,0.0016578089
AGPS,-0.0,-4.2997282e-05,0.0004401482,-0.0043232986,0.0015098788
NFE2L2,0.0,-3.5356337e-05,0.00068081054,-0.008894386,0.0018889201
MYLK4,-0.0,-2.3710709e-06,0.0001383958,-0.0009835705,0.00077985117
PRL,0.0,-1.9799606e-06,2.9367564e-05,-0.00043559136,0.0
SLC27A6,-0.0,-2.197454e-05,0.0005976155,-0.0042080497,0.0029176173
SEMA3A,0.0,6.000441e-05,0.001590552,-0.013979438,0.0063077225
FSTL4,0.0,-1.2395339e-05,0.0005753557,-0.002850937,0.0024229158
XIRP2,-0.0,5.340783e-05,0.0008240543,-0.0034925751,0.0027560662
GRID2IP,-0.0,-3.606507e-07,0.00018763456,-0.0015242499,0.0020350073
CHRNB2,0.0,2.0166826e-06,6.2865496e-05,-0.0005241582,0.0005426907
ZNF131,0.0,6.760491e-06,0.00020389468,-0.0008988593,0.0018617342
PKHD1,0.0,1.9956908e-05,0.0010178554,-0.005006629,0.0065928944
ATCAY,0.0,2.3666447e-05,0.00023878504,-0.0009633137,0.0019638552
RADIL,-0.0,6.236862e-06,0.00026477902,-0.001417444,0.0019483065
RXRG,0.0,-6.4443975e-06,0.00025413267,-0.0023624417,0.0010342308
HTR1B,-0.0,-6.671088e-06,0.00018915246,-0.0023289449,0.0012209951
INSIG1,0.0,-6.5739873e-06,0.000159062,-0.001621043,0.001324441
BSN,0.0,2.2582226e-05,0.0003046482,-0.0017852768,0.0017868805
TACR2,0.0,-5.6260255e-06,8.113171e-05,-0.0012030397,0.0
SPTBN4,-0.0,-3.793878e-05,0.0002983418,-0.0026686187,0.001344646
ADGRF4,-0.0,3.1874028e-05,0.00024142192,-0.00051883364,0.0024329217
ZNF671,0.0,9.899569e-07,1.4683447e-05,0.0,0.00021779053
ZNF551,-0.0,1.8569601e-06,3.302726e-05,-0.00019351726,0.0002796384
SLC26A7,0.0,2.429733e-05,0.00054482685,-0.0027312348,0.0038851537
KBTBD3,0.0,2.2692755e-06,0.00012035983,-0.0013347517,0.0007652144
OR2L13,0.0,-3.3997471e-06,0.00047871118,-0.002077935,0.0020686015
RHCG,0.0,1.5811619e-06,0.0001869806,-0.0010917305,0.002191166
TTC3,0.0,5.1142993e-05,0.00044560447,-0.0012914472,0.004294717
LINGO2,-0.0,-6.3907355e-05,0.0018484546,-0.010644329,0.006491657
PLD5,-0.0,-0.0001050494,0.0009842829,-0.0050818725,0.004089896
COL4A2,0.0,-6.446318e-05,0.00043769248,-0.002838293,0.0015415527
FREM2,0.0,5.2645464e-06,0.0005663545,-0.0027863178,0.0028575812
AGPAT3,0.0,-1.7701466e-05,0.00025858107,-0.0019667726,0.0014297033
MUC6,0.0,1.0008407e-05,0.00012410917,-0.0006076076,0.0011133013
WIPI2,0.0,7.609803e-06,9.9241726e-05,-0.00030789324,0.0014067604
ARHGEF17,0.0,-1.5173469e-05,0.00019941959,-0.0018713685,0.0012147092
CDKN1A,0.0,-1.067042e-05,0.000114126604,-0.0010551234,0.0006922085
ACADVL,0.0,5.075468e-07,7.234861e-06,-0.0,0.00010723942
DVL2,0.0,-3.774115e-06,5.260474e-05,-0.00077878573,-0.0
DLG4,0.0,6.917233e-06,0.00012664749,-0.00055377523,0.0014189989
FIGNL1,0.0,-7.530039e-07,0.0002803508,-0.0028414628,0.0030050802
MCM7,0.0,1.9086049e-06,3.3171356e-05,-0.00020858088,0.0003137895
AP4M1,-0.0,-6.429824e-06,0.000111613495,-0.0013628574,0.00053399516
TMC7,0.0,-1.605721e-05,0.0001465175,-0.001198993,0.0008046134
PCNX2,-0.0,-1.7787477e-05,0.00036967374,-0.003287574,0.0020640255
ADAP1,-0.0,6.683369e-06,0.00025658522,-0.0019299539,0.0016498693
COX19,0.0,-1.6480593e-05,0.00032281523,-0.0023423056,0.0019921912
MALT1,0.0,-2.0832435e-05,0.00021683173,-0.0023158956,0.0007332164
IQGAP1,0.0,-1.910074e-05,0.00027792537,-0.002055821,0.0021264192
TRPM2,-0.0,-2.560843e-05,0.00043694515,-0.0045214123,0.001365508
YES1,-0.0,3.998344e-05,0.0003615998,-0.0017507321,0.002225402
LAMA1,0.0,-3.377188e-05,0.00029296984,-0.0018755676,0.001524881
TNKS1BP1,-0.0,-1.2690125e-05,0.00018027052,-0.0016589264,0.001405213
AP1S3,-0.0,-1.2477082e-05,0.00026075658,-0.0030103545,0.0015890383
ACOX3,0.0,1.5091233e-05,0.000273404,-0.0012445586,0.0028548262
