,median,mean,std,min,max
TRIM44,0.0,0.0,0.0,-0.0,-0.0
SLC25A27,0.0,0.0,0.0,0.0,0.0
USP25,-0.0,0.0,0.0,-0.0,-0.0
AGPS,-0.0,0.0,0.0,-0.0,-0.0
NFE2L2,-0.0,0.0,0.0,-0.0,-0.0
MYLK4,0.0,0.0,0.0,-0.0,-0.0
PRL,0.0,0.0,0.0,0.0,0.0
SLC27A6,0.0,-0.00052670116,0.0024704477,-0.011587426,-0.0
SEMA3A,0.0,-0.00074527605,0.003495655,-0.016396074,-0.0
FSTL4,0.0,0.0,0.0,0.0,0.0
XIRP2,0.0,0.00029454278,0.001381528,0.0,0.0064799413
GRID2IP,-0.0,0.0,0.0,-0.0,-0.0
CHRNB2,-0.0,0.0,0.0,-0.0,-0.0
ZNF131,0.0,0.0,0.0,0.0,0.0
PKHD1,0.0,-0.000115308416,0.0005408443,-0.002536785,0.0
ATCAY,-0.0,0.0,0.0,-0.0,-0.0
RADIL,0.0,-0.0008616237,0.0040413737,-0.01895572,0.0
RXRG,0.0,0.0,0.0,0.0,0.0
HTR1B,0.0,0.0,0.0,0.0,0.0
INSIG1,0.0,0.0,0.0,-0.0,-0.0
BSN,0.0,0.0,0.0,-0.0,-0.0
TACR2,0.0,0.0,0.0,0.0,0.0
SPTBN4,0.0,0.0,0.0,0.0,0.0
ADGRF4,0.0,0.0,0.0,0.0,0.0
ZNF671,-0.0,0.0,0.0,-0.0,-0.0
ZNF551,0.0,0.0,0.0,-0.0,-0.0
SLC26A7,0.0,0.0,0.0,0.0,0.0
KBTBD3,0.0,0.0,0.0,-0.0,-0.0
OR2L13,0.0,0.0,0.0,0.0,0.0
RHCG,0.0,0.0,0.0,0.0,0.0
TTC3,0.0,0.00040668398,0.0019075165,-0.0,0.008947047
LINGO2,0.0,-7.470604e-05,0.0047287545,-0.010802721,0.017050803
PLD5,0.0,-0.00046736895,0.0021921543,-0.010282117,-0.0
COL4A2,0.0,0.0,0.0,0.0,0.0
FREM2,0.0,0.0001271909,0.0005965783,0.0,0.0027982
AGPAT3,0.0,0.0,0.0,0.0,0.0
MUC6,0.0,0.0,0.0,0.0,0.0
WIPI2,0.0,2.726756e-05,0.00012789617,-0.0,0.00059988635
ARHGEF17,0.0,0.0,0.0,0.0,0.0
CDKN1A,0.0,0.0,0.0,0.0,0.0
ACADVL,0.0,0.0,0.0,0.0,0.0
DVL2,0.0,0.0,0.0,-0.0,-0.0
DLG4,0.0,0.0,0.0,0.0,0.0
FIGNL1,0.0,0.0,0.0,-0.0,-0.0
MCM7,0.0,0.0,0.0,-0.0,-0.0
AP4M1,0.0,0.0,0.0,0.0,0.0
TMC7,-0.0,0.0,0.0,-0.0,-0.0
PCNX2,0.0,0.0,0.0,0.0,0.0
ADAP1,0.0,0.0,0.0,0.0,0.0
COX19,0.0,0.0,0.0,-0.0,-0.0
MALT1,0.0,0.0,0.0,-0.0,-0.0
IQGAP1,0.0,0.0,0.0,0.0,0.0
TRPM2,0.0,0.0,0.0,0.0,0.0
YES1,0.0,0.0,0.0,0.0,0.0
LAMA1,0.0,0.0,0.0,-0.0,-0.0
TNKS1BP1,0.0,0.0,0.0,0.0,0.0
AP1S3,0.0,0.0,0.0,0.0,0.0
ACOX3,0.0,0.0,0.0,0.0,0.0
RRP7A,0.0,-9.144656e-06,4.2892232e-05,-0.00020118244,0.0
