,median,mean,std,min,max
TRIM44,-0.0,0.0,0.0,-0.0,-0.0
SLC25A27,0.0,0.0,0.0,0.0,0.0
USP25,-2.7391701e-05,-2.7391701e-05,3.8737715e-05,-5.4783402e-05,-0.0
AGPS,5.393402e-05,5.393402e-05,7.627423e-05,0.0,0.00010786804
NFE2L2,6.467728e-05,6.467728e-05,9.146749e-05,-0.0,0.00012935456
MYLK4,0.0,0.0,0.0,0.0,0.0
PRL,-0.0,0.0,0.0,-0.0,-0.0
SLC27A6,0.00017554533,0.00017554533,0.000490702,-0.0001714334,0.00052252406
SEMA3A,0.00029322237,0.00029322237,0.0010901596,-0.0004776369,0.0010640817
FSTL4,-0.00011236479,-0.00011236479,0.00012115694,-0.00019803569,-2.6693891e-05
XIRP2,-8.813404e-06,-8.813404e-06,1.24640355e-05,-1.7626808e-05,-0.0
GRID2IP,0.0,0.0,0.0,0.0,0.0
CHRNB2,0.0,0.0,0.0,0.0,0.0
ZNF131,0.0,0.0,0.0,0.0,0.0
PKHD1,-0.00040763256,-0.00040763256,0.00011454297,-0.00048862665,-0.00032663843
ATCAY,-3.442346e-05,-3.442346e-05,4.8682126e-05,-6.884692e-05,-0.0
RADIL,-0.0,0.0,0.0,-0.0,-0.0
RXRG,0.0,0.0,0.0,0.0,0.0
HTR1B,-0.0,0.0,0.0,-0.0,-0.0
INSIG1,0.0,0.0,0.0,0.0,0.0
BSN,0.0,0.0,0.0,0.0,0.0
TACR2,0.0,0.0,0.0,0.0,0.0
SPTBN4,-0.0,0.0,0.0,-0.0,-0.0
ADGRF4,6.251532e-06,6.251532e-06,0.00020961856,-0.00014197118,0.00015447424
ZNF671,0.0,0.0,0.0,-0.0,-0.0
ZNF551,-0.0,0.0,0.0,-0.0,-0.0
SLC26A7,-0.0003685347,-0.0003685347,0.0003127588,-0.0005896886,-0.00014738084
KBTBD3,0.0,0.0,0.0,0.0,0.0
OR2L13,-0.00022994858,-0.00022994858,0.00022042426,-0.00038581208,-7.4085096e-05
RHCG,5.8012505e-05,5.8012505e-05,8.2042076e-05,-0.0,0.00011602501
TTC3,0.0,0.0,0.0,-0.0,-0.0
LINGO2,0.0006165528,0.0006165528,0.000848369,1.6665363e-05,0.0012164402
PLD5,0.00014137225,0.00014137225,0.00021673017,-1.1879128e-05,0.00029462363
COL4A2,0.00011497481,0.00011497481,1.968285e-05,0.00010105693,0.00012889269
FREM2,4.9832794e-05,4.9832794e-05,7.047421e-05,0.0,9.966559e-05
AGPAT3,-2.684201e-05,-2.684201e-05,7.780657e-05,-8.1859565e-05,2.8175546e-05
MUC6,0.0,0.0,0.0,0.0,0.0
WIPI2,3.277084e-06,3.277084e-06,7.896654e-05,-5.2560692e-05,5.911486e-05
ARHGEF17,0.0,0.0,0.0,-0.0,-0.0
CDKN1A,0.0,0.0,0.0,0.0,0.0
ACADVL,0.0,0.0,0.0,-0.0,-0.0
DVL2,0.0,0.0,0.0,0.0,0.0
DLG4,0.0,0.0,0.0,0.0,0.0
FIGNL1,0.0,0.0,0.0,-0.0,-0.0
MCM7,0.0,0.0,0.0,0.0,0.0
AP4M1,-2.3703822e-05,-2.3703822e-05,3.3522265e-05,-4.7407644e-05,-0.0
TMC7,0.0,0.0,0.0,0.0,0.0
PCNX2,2.4634915e-05,2.4634915e-05,3.483903e-05,-0.0,4.926983e-05
ADAP1,0.0,0.0,0.0,-0.0,-0.0
