,median,mean,std,min,max
TRIM44,0.0,2.201377e-05,9.338466e-05,0.0,0.0004981835
SLC25A27,0.0,2.7129956e-05,0.0001308257,-0.00010233025,0.00063227705
USP25,0.0,-0.00011081876,0.00041213937,-0.0014994321,0.0006543762
AGPS,0.0,-2.0007432e-05,0.00023203307,-0.0012617202,0.00051047385
NFE2L2,-0.0,-6.112553e-05,0.00041656877,-0.0025515193,0.00022874912
MYLK4,-0.0,-7.555484e-05,0.0004239538,-0.0024190925,0.00037095693
PRL,0.0,1.3429548e-05,8.2785344e-05,-0.0,0.0005103228
SLC27A6,-0.0,-0.00037125385,0.0013921076,-0.004326697,0.0016011989
SEMA3A,0.0,0.00012888624,0.0011847506,-0.0028951243,0.0030762632
FSTL4,0.0,-3.5359815e-05,0.0004761219,-0.001238277,0.0010615389
XIRP2,0.0,-0.00013331608,0.00067410036,-0.0031176002,0.002038017
GRID2IP,0.0,9.118634e-05,0.0003069828,-0.0001421742,0.0013064062
CHRNB2,0.0,5.6398596e-05,0.00024352591,0.0,0.0011680434
ZNF131,0.0,4.8196794e-06,0.00027803192,-0.001258461,0.0009277331
PKHD1,-0.0,-0.00013867764,0.0004763968,-0.0013773615,0.00061397214
ATCAY,-0.0,5.0125218e-05,0.00038186216,-0.0013467611,0.0015708997
RADIL,0.0,-2.1389493e-05,8.670595e-05,-0.0003908177,4.911309e-05
RXRG,0.0,-1.6766897e-05,7.749535e-05,-0.000434476,7.251513e-06
HTR1B,0.0,0.0,0.0,0.0,0.0
INSIG1,0.0,1.01376645e-05,8.2947125e-05,-0.00022807586,0.00040252393
BSN,-0.0,1.5594043e-05,0.00024331761,-0.00049885164,0.0013459987
TACR2,0.0,0.0,0.0,0.0,0.0
SPTBN4,-0.0,9.335721e-05,0.00029759214,-0.00041821733,0.0012641134
ADGRF4,0.0,5.0975825e-05,0.00035360642,-0.00054694363,0.0020607915
ZNF671,-0.0,1.480848e-06,9.12856e-06,-0.0,5.6272223e-05
ZNF551,-0.0,9.8346345e-06,6.0624756e-05,-0.0,0.00037371612
SLC26A7,-0.0,-2.7461658e-05,0.00011868452,-0.0004741136,0.00032660316
KBTBD3,0.0,-8.019243e-07,3.232943e-05,-0.00015349762,0.0001230245
OR2L13,-0.0,3.212014e-05,0.00035201645,-0.001130997,0.0010761946
RHCG,0.0,-5.203629e-05,0.00023717276,-0.0013721726,8.89641e-05
TTC3,0.0,7.3553206e-06,0.00013736836,-0.00064726395,0.00036473383
LINGO2,0.0,-3.1345728e-05,0.0010418317,-0.0030481576,0.001940081
PLD5,-0.0,8.278191e-05,0.0005179955,-0.0013810374,0.0019897188
COL4A2,-0.0,2.8292684e-06,0.0004065692,-0.001697335,0.0011477472
FREM2,-0.0,1.860356e-05,0.00042274815,-0.0013663563,0.0016367483
AGPAT3,0.0,1.987068e-05,0.0001691725,-0.00049705384,0.0005693684
MUC6,-0.0,2.3598046e-05,0.00014546813,-0.0,0.00089672575
WIPI2,0.0,-3.63927e-05,0.00025068497,-0.00082586386,0.0009271554
ARHGEF17,-0.0,1.1550949e-05,7.120483e-05,0.0,0.00043893605
CDKN1A,0.0,1.0731265e-05,0.0001750272,-0.0005991623,0.0008721778
ACADVL,0.0,3.846453e-07,2.3711127e-06,0.0,1.4616521e-05
DVL2,0.0,-9.503801e-06,5.8585374e-05,-0.00036114446,-0.0
DLG4,0.0,-2.1067179e-05,9.866413e-05,-0.00056850753,-0.0
FIGNL1,0.0,3.4847271e-06,2.1481299e-05,0.0,0.00013241963
MCM7,-0.0,-5.448985e-05,0.00033589796,-0.0020706144,-0.0
AP4M1,0.0,-3.735064e-05,0.00018711112,-0.0011226775,-0.0
TMC7,0.0,5.6193667e-06,0.0003104051,-0.0011395095,0.0013957601
PCNX2,0.0,-5.1746716e-05,0.00041273457,-0.00089163997,0.0014436623
ADAP1,0.0,-1.9329851e-05,0.00020390071,-0.0010578084,0.00053549226
COX19,0.0,-1.7837998e-05,0.00032382327,-0.0011167468,0.0010566376
MALT1,0.0,9.396808e-05,0.00045839028,-0.0006328619,0.0019562102
IQGAP1,0.0,-8.711381e-07,0.0002242825,-0.0007335217,0.0010714021
TRPM2,0.0,9.616125e-06,0.0001715459,-0.0007125041,0.0006533357
YES1,0.0,-5.4872846e-05,0.0001972079,-0.0007948755,0.0004901281
LAMA1,0.0,-7.0517615e-07,0.00029967973,-0.0010471952,0.0010518146
TNKS1BP1,0.0,0.0,0.0,0.0,0.0
AP1S3,0.0,1.30940725e-05,8.071732e-05,-0.0,0.00049757474
ACOX3,0.0,1.6034151e-05,0.0005280391,-0.0018183319,0.0023349302
RRP7A,0.0,-4.071178e-07,2.5096424e-06,-1.5470476e-05,0.0
COL6A6,0.0,-5.1496078e-05,0.00026086715,-0.0013253697,0.000497158
GRM2,0.0,6.3507455e-06,3.9148606e-05,0.0,0.00024132834
KLHDC1,-0.0,-6.1483697e-06,3.299249e-05,-0.00015126306,4.6669866e-05
LINC00692,0.0,-1.007531e-05,4.8247024e-05,-0.00025742335,2.6305905e-05
ELL2,0.0,-1.1039215e-05,8.052194e-05,-0.00042904072,0.00010719878
OR8B8,0.0,0.0,0.0,0.0,0.0
GPHN,0.0,0.00014498916,0.0010904286,-0.0020700623,0.0036645175
AMIGO3,0.0,3.9258478e-07,2.4200554e-06,0.0,1.49182215e-05
RNF123,0.0,-7.4822624e-06,4.6123758e-05,-0.00028432597,-0.0
GMPPB,-0.0,-5.2937817e-06,3.263306e-05,-0.0002011637,-0.0
ADAMTSL3,0.0,4.4771856e-05,0.00049702893,-0.001523587,0.0018650487
CELF3,0.0,4.2163756e-05,0.00022306581,-0.00039489527,0.001121138
RIIAD1,-0.0,2.047893e-06,0.00017919028,-0.00080945354,0.00059562636
SPINK9,-0.0,-3.1905495e-06,9.378913e-05,-0.0004596844,0.00033844353
MACF1,0.0,-8.714911e-05,0.0006830583,-0.0034756232,0.00088317285
DNAJC18,-0.0,-1.2717344e-05,0.00018044235,-0.00090417365,0.00054215704
DMXL1,0.0,-9.703973e-05,0.0004929811,-0.0023623253,0.00055117
DNAH10,0.0,-0.000111002104,0.00035552998,-0.0014657949,0.00023081858
CNDP2,0.0,0.0,0.0,0.0,0.0
PLEKHO2,-0.0,5.1963075e-06,0.000104852224,-0.00034189955,0.00053935923
ADSS2,0.0,1.671041e-05,0.000103009894,-0.0,0.0006349956
TCP1,0.0,1.1961717e-05,7.3737e-05,0.0,0.00045454525
MRPL18,0.0,-5.8754027e-05,0.00036218413,-0.002232653,-0.0
TUBGCP2,-0.0,-8.3059485e-06,3.5717294e-05,-0.00016041027,-0.0
MDK,0.0,0.0,0.0,0.0,0.0
DGKZ,-0.0,-3.209684e-05,0.00029834645,-0.0017475416,0.00052786164
CHRM4,-0.0,0.0,0.0,-0.0,-0.0
AHR,-0.0,-3.9608432e-05,0.00017290817,-0.0009548168,0.0
PDLIM3,0.0,-8.652443e-06,5.333723e-05,-0.00032879284,-0.0
TTC28,-0.0,-0.00024589928,0.00083989685,-0.0035253721,0.00088662683
SERPINC1,0.0,0.0,0.0,0.0,0.0
CIB2,0.0,8.966957e-06,0.00014509413,-0.00053557404,0.0006739387
SH2D7,-0.0,-2.3577111e-05,9.22894e-05,-0.0004996185,0.0
SLC22A7,0.0,1.351451e-06,8.3309e-06,0.0,5.135514e-05
CRIP3,-0.0,-2.7001462e-07,3.7494763e-05,-0.00016632401,0.00015606346
ZNF318,0.0,-3.1384989e-06,7.303377e-05,-0.00035063847,0.00026889276
IRF7,0.0,-2.7410372e-06,1.6896887e-05,-0.000104159415,0.0
