,median,mean,std,min,max
TRIM44,-0.0,0.0,0.0,0.0,0.0
SLC25A27,-0.0,0.0,0.0,0.0,0.0
USP25,0.0,0.0,0.0,-0.0,-0.0
AGPS,0.0,-0.00011276267,0.00019531065,-0.000338288,0.0
NFE2L2,-0.0,-1.678353e-05,2.9069928e-05,-5.035059e-05,0.0
MYLK4,-0.0,0.0,0.0,0.0,0.0
PRL,0.0,0.0,0.0,0.0,0.0
SLC27A6,-0.0,-0.000112342124,0.00082217756,-0.000984914,0.00064788765
SEMA3A,0.0,5.242213e-05,0.0005732377,-0.0004928039,0.0006500703
FSTL4,-0.0,0.00012706842,0.00022008893,0.0,0.00038120523
XIRP2,-0.00011437846,1.0591854e-05,0.000961783,-0.00088259723,0.0010287513
GRID2IP,0.0,-0.00012419028,0.00021510385,-0.00037257082,0.0
CHRNB2,-0.0,0.0,0.0,-0.0,-0.0
ZNF131,-0.0,0.0,0.0,0.0,0.0
PKHD1,-0.0010561941,-0.0013355361,0.0018210642,-0.0032801311,0.0003297169
ATCAY,-0.0,0.00015781942,0.00027335127,-0.0,0.00047345826
RADIL,0.0,0.0,0.0,0.0,0.0
RXRG,0.0,0.0,0.0,-0.0,-0.0
HTR1B,0.0,0.0,0.0,-0.0,-0.0
INSIG1,0.0,0.0,0.0,-0.0,-0.0
BSN,-0.0,0.0,0.0,0.0,0.0
TACR2,-0.0,0.0,0.0,0.0,0.0
SPTBN4,0.0,0.0,0.0,0.0,0.0
ADGRF4,0.0,2.0762467e-05,3.5961646e-05,0.0,6.22874e-05
ZNF671,0.0,0.0,0.0,-0.0,-0.0
ZNF551,0.0,0.0,0.0,-0.0,-0.0
SLC26A7,-0.0,-0.00016365392,0.0002834569,-0.0004909618,-0.0
KBTBD3,0.0,0.0,0.0,0.0,0.0
OR2L13,0.00013154652,0.00021276843,0.0002629617,0.0,0.00050675875
RHCG,-0.0,-5.7081616e-05,9.886826e-05,-0.00017124484,-0.0
TTC3,0.0,0.0,0.0,-0.0,-0.0
LINGO2,0.00027797962,0.0017412264,0.0030691642,-0.0003224949,0.0052681942
PLD5,-0.0,-0.0003957219,0.0014490214,-0.0020014949,0.0008143291
COL4A2,0.00020761111,0.00023294747,0.0002465938,-0.0,0.0004912313
FREM2,0.00018434809,0.00037085995,0.0004914199,0.0,0.0009282317
AGPAT3,-0.0,5.8591937e-05,0.00014520982,-4.8167705e-05,0.00022394353
MUC6,0.0,5.2438758e-05,9.0826594e-05,-0.0,0.00015731627
WIPI2,-0.0,0.0,0.0,0.0,0.0
ARHGEF17,-0.0,0.0,0.0,0.0,0.0
CDKN1A,0.0,0.0,0.0,-0.0,-0.0
ACADVL,-0.0,0.0,0.0,-0.0,-0.0
DVL2,-0.0,0.0,0.0,0.0,0.0
DLG4,-0.0,0.0,0.0,0.0,0.0
FIGNL1,0.0,0.0,0.0,-0.0,-0.0
MCM7,0.0,-5.4819993e-05,9.4951014e-05,-0.00016445998,-0.0
AP4M1,0.0,-8.125575e-05,0.00014073908,-0.00024376724,0.0
TMC7,-0.0,0.0,0.0,-0.0,-0.0
PCNX2,-0.0,-3.5173987e-05,8.6079934e-05,-0.0001332709,2.7748945e-05
ADAP1,-0.0,-9.20706e-05,0.00015947095,-0.0002762118,-0.0
COX19,0.0,7.538096e-06,0.0001350398,-0.00012357476,0.00014618905
MALT1,-0.0,0.0,0.0,0.0,0.0
