,median,mean,std,min,max
TRIM44,-0.0,0.0,0.0,-0.0,-0.0
SLC25A27,0.0,0.0,0.0,-0.0,-0.0
USP25,0.0,0.0,0.0,-0.0,-0.0
AGPS,0.0,0.0,0.0,0.0,0.0
NFE2L2,0.0,-0.00015646868,0.0013933226,-0.0023381917,0.0015558483
MYLK4,0.0,0.0,0.0,-0.0,-0.0
PRL,0.0,-0.000526012,0.0011761986,-0.0026300598,0.0
SLC27A6,0.0,0.0,0.0,-0.0,-0.0
SEMA3A,-0.0,0.0,0.0,0.0,0.0
FSTL4,-0.0,0.0,0.0,0.0,0.0
XIRP2,0.0,-0.0003041556,0.0009659416,-0.0017492789,0.0008587781
GRID2IP,0.0,0.0,0.0,0.0,0.0
CHRNB2,0.0,0.0,0.0,0.0,0.0
ZNF131,-0.0,0.0,0.0,0.0,0.0
PKHD1,-0.0,0.0007813907,0.0014685835,0.0,0.0033760911
ATCAY,0.0,0.0,0.0,0.0,0.0
RADIL,-0.0,9.101152e-05,0.00050072983,-0.0004583277,0.0009133853
RXRG,-0.0,0.0,0.0,-0.0,-0.0
HTR1B,0.0,0.0,0.0,0.0,0.0
INSIG1,-0.0,0.0,0.0,-0.0,-0.0
BSN,-0.0,0.0,0.0,-0.0,-0.0
TACR2,0.0,0.0,0.0,0.0,0.0
SPTBN4,0.0,0.00016163479,0.00036142636,-0.0,0.0008081739
ADGRF4,0.0,0.0,0.0,-0.0,-0.0
ZNF671,-0.0,0.0,0.0,0.0,0.0
ZNF551,0.0,3.2305506e-05,7.22373e-05,0.0,0.00016152754
SLC26A7,-0.0,0.0,0.0,0.0,0.0
KBTBD3,-0.0,0.0,0.0,0.0,0.0
OR2L13,-0.0006938139,-0.0007474421,0.0007614462,-0.001526171,0.0
RHCG,-0.0,0.0,0.0,-0.0,-0.0
TTC3,-0.0,0.0,0.0,-0.0,-0.0
LINGO2,-0.0,0.0,0.0,0.0,0.0
PLD5,-0.0,0.0,0.0,0.0,0.0
COL4A2,-0.0,0.0,0.0,-0.0,-0.0
FREM2,0.0,5.202364e-05,0.00011632839,-0.0,0.0002601182
AGPAT3,0.0,0.0,0.0,0.0,0.0
MUC6,0.0,-0.0009435082,0.0021097483,-0.004717541,0.0
WIPI2,0.0,0.0,0.0,-0.0,-0.0
ARHGEF17,0.0,0.0,0.0,0.0,0.0
CDKN1A,0.0,0.0,0.0,0.0,0.0
ACADVL,0.0,0.0,0.0,0.0,0.0
DVL2,-0.0,0.0,0.0,0.0,0.0
DLG4,0.0,0.0,0.0,0.0,0.0
FIGNL1,-0.0,0.0,0.0,-0.0,-0.0
MCM7,-0.0,0.0,0.0,-0.0,-0.0
AP4M1,-0.0,0.0,0.0,-0.0,-0.0
TMC7,0.0,-0.00084431085,0.0018879365,-0.0042215544,0.0
PCNX2,0.0,-0.0023032746,0.0051502786,-0.011516373,-0.0
ADAP1,0.0,0.0,0.0,-0.0,-0.0
COX19,0.0,0.0,0.0,0.0,0.0
MALT1,-0.0,0.0,0.0,-0.0,-0.0
IQGAP1,0.0,0.0,0.0,-0.0,-0.0
TRPM2,0.0,0.0,0.0,-0.0,-0.0
YES1,-0.0,0.0,0.0,-0.0,-0.0
LAMA1,0.0,0.0,0.0,-0.0,-0.0
TNKS1BP1,-0.0,0.0,0.0,0.0,0.0
AP1S3,0.0,0.0,0.0,0.0,0.0
ACOX3,-0.0,0.0,0.0,0.0,0.0
