,median,mean,std,min,max
TRIM44,0.0,-1.38218065e-05,0.000106591084,-0.00060856715,0.0005203139
SLC25A27,-0.0,-5.3638112e-05,0.00030557482,-0.002596991,2.0694026e-05
USP25,0.0,-9.346568e-06,0.00028233512,-0.001984144,0.0012706809
AGPS,0.0,-1.3603091e-05,0.00039026397,-0.0024051068,0.0014118144
NFE2L2,0.0,-8.066919e-06,0.00031582452,-0.0022388115,0.0010554768
MYLK4,-0.0,5.1940137e-06,0.00045724708,-0.0020283484,0.0038091708
PRL,-0.0,-1.986088e-05,0.0001848403,-0.0018528323,-0.0
SLC27A6,0.0,-0.00011008258,0.0011047253,-0.0068477425,0.0037990725
SEMA3A,-0.0,0.00012036261,0.0010070549,-0.004607534,0.005215464
FSTL4,0.0,4.226977e-05,0.0006819503,-0.0019163922,0.0049928436
XIRP2,0.0,-6.235914e-05,0.00070415606,-0.005769744,0.001869774
GRID2IP,-0.0,3.2662356e-05,0.00037728698,-0.0020993745,0.0021512632
CHRNB2,0.0,-6.606731e-06,9.779753e-05,-0.00055620546,0.00057582645
ZNF131,0.0,-6.133361e-05,0.0005103699,-0.005010401,0.00042632542
PKHD1,-0.0,-1.9503195e-05,0.0010878643,-0.0055972305,0.0030888384
ATCAY,0.0,7.603111e-07,2.756879e-05,-0.00013733811,0.00023314945
RADIL,0.0,-5.98505e-06,0.00017810917,-0.0011033291,0.0010065936
RXRG,0.0,1.0840147e-05,0.00010646116,0.0,0.0010698785
HTR1B,-0.0,0.0,0.0,-0.0,-0.0
INSIG1,0.0,-1.6714102e-07,1.6797477e-06,-1.6881244e-05,0.0
BSN,-0.0,-5.4120937e-05,0.00032652097,-0.0017560903,0.0011826846
TACR2,-0.0,1.42404e-05,0.00018995699,-0.00042608616,0.0018564371
SPTBN4,-0.0,2.0935693e-06,0.00032036178,-0.0013435839,0.0022241054
ADGRF4,0.0,-9.28909e-06,0.00018197534,-0.0016252353,0.00081861846
ZNF671,0.0,2.7416837e-07,2.7553574e-06,-0.0,2.7691007e-05
ZNF551,-0.0,3.3204997e-05,0.00028996594,-0.00061672425,0.002186482
SLC26A7,0.0,4.6967576e-05,0.00034900606,-0.00084142847,0.0020067208
KBTBD3,-0.0,3.3566823e-06,0.00026205397,-0.0015728006,0.0019251755
OR2L13,-0.0,9.6103526e-05,0.0006922436,-0.0018221362,0.005370633
RHCG,0.0,2.561451e-07,7.386643e-05,-0.00053569896,0.0004568322
TTC3,0.0,4.49508e-06,0.00030967421,-0.0010958385,0.0022640356
LINGO2,0.0,5.5013403e-05,0.0015367941,-0.008373735,0.0038429657
PLD5,0.0,0.00010898814,0.0010694345,-0.0035235125,0.006572491
COL4A2,0.0,-7.822852e-05,0.0007625969,-0.0057812138,0.0018794591
FREM2,-0.0,0.00011231035,0.0005486175,-0.0007680987,0.0036640798
AGPAT3,0.0,5.1365896e-07,0.00017130062,-0.0009308746,0.0009787636
MUC6,-0.0,1.5669371e-05,0.0002115179,-0.00060068344,0.0014467803
WIPI2,-0.0,-5.3634107e-05,0.0003673098,-0.002657664,0.00075776724
ARHGEF17,-0.0,-9.657245e-05,0.0012465833,-0.012012547,0.0033887185
