,median,mean,std,min,max
TRIM44,0.0,-8.3538944e-05,0.0005421962,-0.0035972795,0.00020723352
SLC25A27,0.0,-1.0069344e-05,4.9327093e-05,-0.0003096084,-0.0
USP25,0.0,-4.6513407e-05,0.00029131855,-0.0010965065,0.0005750291
AGPS,-0.0,-2.9273982e-05,0.00012939637,-0.0008255705,-0.0
NFE2L2,-0.0,-0.00012403277,0.00066330936,-0.004182953,0.00013227241
MYLK4,0.0,4.8758535e-05,0.00032298727,-0.0,0.0021671099
PRL,0.0,2.1475794e-06,6.193615e-05,-0.00012385173,0.00037519532
SLC27A6,-0.0,-3.680723e-05,0.000454957,-0.0027824433,0.0010023561
SEMA3A,-0.0,4.223245e-06,5.2073738e-05,-0.00024399352,0.0001983235
FSTL4,0.0,-0.00013653665,0.0010166354,-0.0066572544,0.0013210219
XIRP2,0.0,-0.00013906934,0.0010663386,-0.004121234,0.002946632
GRID2IP,0.0,-6.189558e-05,0.00021188079,-0.0009642801,3.182551e-05
CHRNB2,-0.0,9.253224e-06,0.00018910514,-0.00090298115,0.00078009564
ZNF131,-0.0,-3.4544441e-06,7.143696e-05,-0.00030706645,0.00030479959
PKHD1,0.0,1.8790537e-05,0.001480314,-0.0054474054,0.007763247
ATCAY,-0.0,-0.00014777524,0.0009835098,-0.0065830178,0.00029110105
RADIL,0.0,0.00015452485,0.0009368318,-0.0007740943,0.005363323
RXRG,0.0,2.3390712e-05,0.000107234664,-2.968003e-05,0.0006356576
HTR1B,-0.0,4.0370385e-05,0.00027375115,-2.291513e-05,0.0018357958
INSIG1,0.0,-1.106256e-06,7.4209916e-06,-4.978152e-05,-0.0
BSN,0.0,-0.00012600065,0.0005435993,-0.0032250183,0.0006560387
TACR2,0.0,1.8443399e-06,1.2372213e-05,-0.0,8.299529e-05
SPTBN4,-0.0,-4.714496e-05,0.00021565189,-0.0009614973,0.0002961738
ADGRF4,0.0,1.1183006e-05,9.5143754e-05,-0.0002917854,0.00036723306
ZNF671,0.0,9.3216695e-06,9.15832e-05,-0.000167741,0.0005872161
