,median,mean,std,min,max
TRIM44,-0.0,-2.2749009e-05,0.00029582888,-0.002736093,0.0015770777
SLC25A27,0.0,4.2976444e-07,8.61198e-05,-0.00078202476,0.000621755
USP25,0.0,3.9367118e-05,0.00021582241,-0.0007599077,0.0013734599
AGPS,0.0,-2.666361e-06,0.00017775102,-0.0013167739,0.0010525456
NFE2L2,0.0,1.540498e-05,0.00027112174,-0.0019583236,0.0017137752
MYLK4,0.0,3.3167105e-06,0.0002537542,-0.0022854547,0.0014050901
PRL,0.0,1.4924146e-06,6.134218e-05,-0.00035553533,0.000482726
SLC27A6,0.0,-4.6493085e-05,0.00094911264,-0.0065985457,0.004069815
SEMA3A,-0.0,8.999167e-05,0.0008231232,-0.0022862018,0.0058418387
FSTL4,0.0,1.641663e-05,0.0005957541,-0.0023474004,0.0027116488
XIRP2,0.0,-7.084382e-05,0.0005394816,-0.0026209448,0.0016984928
GRID2IP,0.0,1.5727279e-05,0.00018763822,-0.0009941637,0.0014914311
CHRNB2,0.0,1.3727216e-06,5.399031e-05,-0.00033577502,0.0004848692
ZNF131,-0.0,-6.065728e-06,0.00018990236,-0.001319402,0.00067922904
PKHD1,0.0,7.947393e-05,0.00069088355,-0.002867755,0.00440524
ATCAY,-0.0,-1.2625483e-06,0.00018447502,-0.0016090653,0.00093180215
RADIL,0.0,-2.2589759e-06,0.00034549946,-0.0026549285,0.0014809767
RXRG,0.0,-8.9659725e-06,0.00012931884,-0.000907231,0.00082191755
HTR1B,0.0,-1.4447155e-06,1.8073923e-05,-0.0002187988,9.019572e-05
INSIG1,0.0,3.6722872e-06,0.00015297318,-0.0013375673,0.0010153776
BSN,-0.0,2.830755e-06,0.00015853102,-0.0009747977,0.0009749278
TACR2,0.0,-7.9588335e-06,7.6045406e-05,-0.00071393745,0.00042610147
SPTBN4,-0.0,1.8859764e-05,0.00023504013,-0.0012758924,0.0011996686
ADGRF4,0.0,-1.9366942e-06,9.151852e-05,-0.0009495501,0.00094483554
ZNF671,0.0,9.582488e-06,8.514259e-05,-0.00039446168,0.0009308041
ZNF551,-0.0,-1.608327e-05,0.0001816216,-0.0021872309,0.0007893916
SLC26A7,0.0,5.0006097e-06,0.00041413878,-0.0020872524,0.0018741839
KBTBD3,0.0,8.844583e-08,6.562226e-05,-0.00045577984,0.00049775565
OR2L13,0.0,5.7422812e-06,0.00058850105,-0.0028023508,0.0026284875
RHCG,0.0,-1.000845e-05,0.00011713678,-0.00090965116,0.0006799766
TTC3,0.0,-3.0379908e-06,0.0001189196,-0.0008133356,0.0006242752
LINGO2,0.0,-2.8880313e-05,0.0011996664,-0.0046398644,0.0042938134
PLD5,0.0,8.0651735e-05,0.0011067436,-0.0040441346,0.005582796
COL4A2,0.0,1.7802802e-05,0.00048905925,-0.0016624399,0.0044930074
FREM2,-0.0,-3.0960447e-05,0.0002388534,-0.0017054179,0.00095868006
AGPAT3,0.0,2.2962544e-07,0.00021045931,-0.0011504892,0.0011306977
MUC6,0.0,1.0398826e-05,0.00011549312,-0.000807664,0.00071221037
WIPI2,0.0,1.3523324e-05,0.0001520467,-0.00061154045,0.0017655775
