,median,mean,std,min,max
TRIM44,0.0,6.5291374e-06,0.0001284998,-0.0002859284,0.0010478705
SLC25A27,0.0,1.3898871e-06,1.3346596e-05,-4.1416755e-05,5.703468e-05
USP25,0.0,-1.2153254e-05,0.00011752009,-0.0009082491,0.00021150948
AGPS,-0.0,-2.0821224e-06,5.569833e-05,-0.00013324898,0.00023016636
NFE2L2,-0.0,-2.0175923e-05,0.00014483079,-0.0009016482,0.00025914446
MYLK4,0.0,2.6057123e-07,0.00012518805,-0.000533415,0.0008640778
PRL,-0.0,7.624247e-08,1.487237e-05,-6.549132e-05,6.1130464e-05
SLC27A6,-0.0,-0.0001376399,0.0008338305,-0.0024659284,0.002302032
SEMA3A,0.0,-3.848678e-05,0.00052815164,-0.002413089,0.0020852925
FSTL4,-0.0,-4.0784227e-05,0.0002785675,-0.000974039,0.0010101942
XIRP2,-0.0,0.00012071994,0.0013961989,-0.0055230437,0.00692317
GRID2IP,0.0,-1.7414106e-05,0.000109890665,-0.0008579041,0.00016515942
CHRNB2,0.0,-9.643003e-06,8.163863e-05,-0.0007292702,7.91882e-05
ZNF131,0.0,-6.3239277e-06,4.531529e-05,-0.00018241754,0.00018527289
PKHD1,0.0,-6.839565e-05,0.00088606606,-0.007343406,0.0028089741
ATCAY,-0.0,-2.8935025e-05,0.00027121545,-0.002346703,0.00047959725
RADIL,-0.0,-9.4732395e-06,9.620341e-05,-0.00049637805,0.00036890735
RXRG,0.0,-2.410914e-06,7.72395e-05,-0.00016928869,0.0004452269
HTR1B,0.0,-2.5366014e-06,1.17098525e-05,-7.147561e-05,1.1351367e-05
INSIG1,-0.0,8.547231e-06,8.2806095e-05,-5.9183687e-05,0.000756522
BSN,0.0,4.8553906e-05,0.00036854605,-0.00092823454,0.0021875922
TACR2,0.0,-9.206939e-07,3.1591622e-05,-0.00025994913,8.215219e-05
SPTBN4,0.0,3.839552e-05,0.00016732438,-0.00036209347,0.00070771476
ADGRF4,0.0,-1.8830175e-05,0.00028110665,-0.0019479052,0.0011188055
ZNF671,-0.0,-1.4279516e-05,0.00014298894,-0.0013064696,0.00013126919
ZNF551,0.0,-7.3558316e-05,0.00043097025,-0.0035688938,0.00035698165
SLC26A7,0.0,4.2565975e-06,0.0004286354,-0.0020205602,0.0011421107
KBTBD3,-0.0,2.0389305e-06,0.00010967331,-0.0005711796,0.0007092986
OR2L13,-0.0,-0.00014479675,0.0010088556,-0.0075595253,0.0025263382
RHCG,0.0,6.1333208e-06,4.026705e-05,-0.00016348924,0.00018834366
TTC3,-0.0,4.959527e-06,5.3253138e-05,-0.00016435848,0.00032725194
LINGO2,0.0,6.026377e-05,0.00091831724,-0.0025345585,0.0037622673
PLD5,-0.0,-0.00012334167,0.00066159206,-0.0055150036,0.0007202594
COL4A2,-0.0,4.5540506e-05,0.00023924794,-0.0002872765,0.0015154319
FREM2,0.0,-1.3467536e-05,0.00044830694,-0.002246203,0.0026604843
AGPAT3,-0.0,-2.3805062e-06,8.622635e-05,-0.00051552395,0.00026092064
MUC6,-0.0,1.3161491e-05,0.00030081655,-0.0016746217,0.0020382428
WIPI2,0.0,1.22869e-06,0.000114799666,-0.00062145124,0.00077678636
