,median,mean,std,min,max
TRIM44,-0.0,1.4676384e-06,9.394927e-05,-0.00037320473,0.00043010493
SLC25A27,0.0,2.2414271e-07,4.5206274e-05,-0.00019860713,0.0002478026
USP25,0.0,7.790551e-06,9.4233605e-05,-0.00037783562,0.00047100143
AGPS,-0.0,5.164186e-06,9.8944256e-05,-0.00039620404,0.0003527232
NFE2L2,0.0,-6.7651436e-06,0.0001436015,-0.0008487083,0.000444016
MYLK4,-0.0,1.5558736e-06,7.228323e-05,-0.00030572372,0.000342899
PRL,0.0,-2.822416e-06,0.00010239095,-0.0003744772,0.0006606144
SLC27A6,-2.0681471e-05,-8.467165e-05,0.0007943178,-0.0023583572,0.0020320462
SEMA3A,-5.3844387e-06,-5.359422e-05,0.0008261342,-0.0029653586,0.0028907352
FSTL4,0.0,-2.3554303e-05,0.00030878477,-0.0010344567,0.0008035484
XIRP2,4.878602e-06,7.214956e-06,0.0007192664,-0.002036056,0.0024674607
GRID2IP,0.0,-2.4190022e-05,7.557751e-05,-0.0003571166,0.00015629362
CHRNB2,0.0,-1.283126e-05,4.550717e-05,-0.00024694295,3.309484e-05
ZNF131,-0.0,-1.35207e-05,9.8635835e-05,-0.00052619993,0.0002793395
PKHD1,-0.0,-5.857815e-05,0.00052934256,-0.002206767,0.0013571538
ATCAY,0.0,-6.214446e-06,8.333563e-05,-0.0004789393,0.00022159328
RADIL,-0.0,-2.245661e-06,0.00017805267,-0.0007949544,0.0007522868
RXRG,0.0,8.526508e-06,7.918856e-05,-0.00043382,0.0004887438
HTR1B,-0.0,-2.298104e-06,2.4799408e-05,-0.0002407442,3.7299254e-05
INSIG1,-0.0,7.719601e-06,7.280457e-05,-9.356185e-05,0.00068185467
BSN,-0.0,7.148865e-06,7.138376e-05,-0.0002226922,0.00044814174
TACR2,-0.0,-1.7480263e-06,1.4118938e-05,-0.0001358442,-0.0
SPTBN4,-0.0,1.4870868e-05,0.00013601249,-0.0004620663,0.0007560747
ADGRF4,-0.0,-1.4431539e-06,3.707426e-05,-0.00022457233,0.0001408338
ZNF671,-0.0,-6.6447205e-07,3.5397657e-05,-0.00026677712,8.194659e-05
ZNF551,-0.0,-1.0304289e-05,9.9624245e-05,-0.00086618075,0.00031094876
SLC26A7,-6.999859e-06,-5.6848126e-05,0.00061774196,-0.0020546468,0.0033889154
KBTBD3,-0.0,-8.614341e-06,6.584608e-05,-0.00031777867,0.00020077528
OR2L13,4.5584697e-05,0.00013919738,0.0007266632,-0.0023628608,0.0031858645
RHCG,-0.0,1.5604462e-06,7.8649944e-05,-0.00024942192,0.0005748442
TTC3,-0.0,2.8086258e-06,0.00010185163,-0.00046031707,0.0007500475
LINGO2,-0.00023632064,-5.539412e-05,0.001941821,-0.005451059,0.005842832
PLD5,-5.8992464e-05,-1.0534623e-05,0.0013590304,-0.0031199502,0.0034008068
COL4A2,0.0,-1.722643e-05,0.00021206195,-0.000602538,0.0007375234
FREM2,-0.0,-1.4427538e-05,0.00022534185,-0.001168433,0.0006529616
AGPAT3,-0.0,-5.021985e-06,0.00015878945,-0.0010439742,0.0006620207
MUC6,0.0,-3.421033e-06,6.6581764e-05,-0.00038544106,0.00020453296
WIPI2,0.0,8.83251e-07,5.6711902e-05,-0.00025741383,0.00043036393
ARHGEF17,0.0,-6.9205576e-06,9.9031575e-05,-0.00058683084,0.0002455753
CDKN1A,0.0,-1.8876945e-06,6.12772e-05,-0.00035824595,0.0003338355
ACADVL,0.0,4.4055205e-06,3.641545e-05,-0.0,0.0003536566
DVL2,-0.0,-1.3443838e-06,1.6443524e-05,-0.00016094021,2.784621e-05
DLG4,0.0,3.7094117e-06,5.1537605e-05,-0.00028203873,0.000344363
FIGNL1,-0.0,2.5281997e-06,1.5415872e-05,-1.1650181e-05,0.00014097361
MCM7,-0.0,3.8877135e-07,1.7703716e-05,-7.4955315e-05,0.00014111299
AP4M1,0.0,-1.574612e-06,4.131296e-05,-0.00035233615,0.00013322142
TMC7,-0.0,7.830827e-06,9.407508e-05,-0.00048051446,0.00040357435
PCNX2,0.0,1.0815533e-05,0.00020114139,-0.00048797322,0.0009862462
ADAP1,0.0,2.082782e-06,7.510708e-05,-0.00046615652,0.0002660934
COX19,0.0,-3.049018e-06,0.00010788569,-0.0004915339,0.0004932834
MALT1,-0.0,1.0020437e-05,5.799472e-05,-0.00019522842,0.00039818592
IQGAP1,0.0,-1.3580282e-05,0.00015220823,-0.0010540227,0.0004591767
TRPM2,0.0,-1.7767545e-05,0.00016996551,-0.0013543022,0.00043096193
YES1,0.0,-8.201767e-06,7.5365366e-05,-0.0003070776,0.00030719707
LAMA1,-0.0,-8.378117e-05,0.0004251133,-0.0011944309,0.0010871659
TNKS1BP1,-0.0,-4.1461813e-06,4.3273096e-05,-0.0003229445,0.00019291177
AP1S3,-0.0,-1.0226322e-05,7.030922e-05,-0.00035601557,0.00022155957
ACOX3,0.0,1.2638878e-06,7.66882e-05,-0.00057678553,0.0002496465
RRP7A,-0.0,-1.2750954e-07,2.0926998e-05,-0.00015201134,7.7027e-05
COL6A6,0.0,1.042634e-06,0.00018861445,-0.0009084429,0.00069004466
GRM2,-0.0,-2.7744488e-06,3.233465e-05,-0.00030460145,4.280518e-05
KLHDC1,-0.0,2.6677897e-06,8.922865e-05,-0.00051918614,0.0003767554
LINC00692,-0.0,2.723171e-06,4.9113758e-05,-0.00032706992,0.00033622817
ELL2,-0.0,-1.2102328e-05,5.8995847e-05,-0.00032232245,0.00013438541
OR8B8,0.0,3.2574897e-06,7.402439e-05,-0.00030255,0.0004863745
GPHN,-0.0,-2.3933358e-06,0.0003586651,-0.00085903186,0.0010352443
AMIGO3,0.0,2.7366139e-06,2.2355674e-05,-3.905364e-05,0.00016367802
RNF123,-0.0,4.1820877e-06,4.358731e-05,-8.9247835e-05,0.00036801468
GMPPB,-0.0,-2.5781756e-06,2.1367352e-05,-0.00015280512,4.0449377e-05
ADAMTSL3,0.0001088202,0.00012470187,0.0009331125,-0.0021366484,0.004240806
CELF3,0.0,-9.0848835e-06,5.769539e-05,-0.0005421656,-0.0
RIIAD1,0.0,-4.185179e-06,7.051155e-05,-0.000361763,0.0004375818
SPINK9,-0.0,-5.4563343e-06,4.7039743e-05,-0.00025206257,0.00015873657
MACF1,-0.0,-3.449999e-05,0.00022811405,-0.00092330517,0.0006104105
DNAJC18,0.0,6.1377905e-06,9.013045e-05,-0.0002593212,0.0006884513
DMXL1,-0.0,-1.0697631e-05,0.0001334565,-0.000600826,0.00036898963
DNAH10,-0.0,-7.355802e-07,0.00012751341,-0.00049892877,0.0005939244
CNDP2,0.0,-4.9727905e-06,3.5537145e-05,-0.0002913716,4.8303635e-05
PLEKHO2,-0.0,-3.655247e-07,4.3200766e-05,-0.00025993833,0.00016347042
ADSS2,-0.0,-4.6309883e-06,4.1001596e-05,-0.00019652401,0.0001781141
TCP1,-0.0,3.3131134e-06,3.7891983e-05,-2.907262e-05,0.00037412823
MRPL18,0.0,-1.925658e-06,1.6058517e-05,-0.00013513438,2.6055277e-05
TUBGCP2,-0.0,6.7175556e-06,8.1742e-05,-0.00019138605,0.00068805984
