,median,mean,std,min,max
TRIM44,0.0,1.188937e-05,0.00018319668,-0.0005200347,0.0006273123
SLC25A27,0.0,5.2426794e-06,3.9776685e-05,-3.8003214e-05,0.00024771038
USP25,0.0,-2.1987144e-05,0.00023251885,-0.0006190035,0.0010652406
AGPS,0.0,2.9233319e-05,0.00024168698,-0.00074894243,0.0007874871
NFE2L2,0.0,5.1776376e-05,0.00029337464,-0.00081435224,0.0009951876
MYLK4,0.0,-3.016286e-05,0.0001650255,-0.00078524085,0.00047086508
PRL,0.0,-4.3117498e-06,6.8338486e-05,-0.00037606817,0.00020359819
SLC27A6,6.853959e-07,5.8037036e-05,0.0009928093,-0.0030609253,0.0020495064
SEMA3A,0.0,-9.300007e-05,0.0007304133,-0.0018718421,0.0020316225
FSTL4,0.0,-9.328183e-05,0.0005824415,-0.0017815954,0.0012350085
XIRP2,-0.0,0.00011347317,0.00051603647,-0.0010978722,0.0011529688
GRID2IP,0.0,3.1832617e-05,0.00028121372,-0.0003884579,0.0016598155
CHRNB2,0.0,-9.607591e-06,6.118566e-05,-0.00038689718,2.5935235e-06
ZNF131,-0.0,-1.3092342e-05,5.2905114e-05,-0.000259777,-0.0
PKHD1,0.0,-0.00014648587,0.00060151157,-0.002136288,0.00079982687
ATCAY,0.0,4.038614e-05,0.00022778606,-0.0004998717,0.000872997
RADIL,0.0,-2.840712e-05,0.00018926444,-0.00072802865,0.00053378695
RXRG,-0.0,-4.1532207e-06,0.00014025295,-0.00064133044,0.00059020537
HTR1B,0.0,-1.4484909e-05,9.161059e-05,-0.0005793964,0.0
INSIG1,0.0,1.48284935e-05,8.7234395e-05,0.0,0.00055119925
BSN,0.0,-4.066574e-05,0.00017442885,-0.00081269647,0.00010727376
TACR2,0.0,1.2863582e-05,5.7154717e-05,0.0,0.00031636836
SPTBN4,0.0,-1.352999e-05,0.00019602355,-0.0008957064,0.00052477675
ADGRF4,-0.0,2.99695e-06,1.895438e-05,-0.0,0.000119877994
ZNF671,0.0,9.077808e-06,5.741311e-05,-0.0,0.0003631123
ZNF551,0.0,-1.0800097e-06,0.00010220086,-0.0002989518,0.0005137892
SLC26A7,0.0,-2.0344447e-05,0.0002377016,-0.0006094365,0.00072006986
KBTBD3,0.0,8.21372e-06,4.749374e-05,0.0,0.000299731
OR2L13,0.0,-0.00013717616,0.0004790516,-0.0023121007,0.00063989434
RHCG,0.0,-3.3925935e-05,0.00018808743,-0.0009885866,0.00035417435
TTC3,0.0,3.9094746e-05,0.000118532305,-0.0002486731,0.00045238735
LINGO2,0.0,0.00012777702,0.0007870202,-0.0013711745,0.002462758
PLD5,0.0,-4.1548767e-05,0.0005353065,-0.0015367429,0.0011870004
COL4A2,-0.0,5.7421963e-05,0.00062757486,-0.0006213456,0.0037395153
FREM2,-0.0,-1.4733325e-05,0.0002566882,-0.0008339449,0.000619032
AGPAT3,0.0,3.627201e-05,0.0002645684,-0.00049126154,0.0013419437
MUC6,0.0,-5.660604e-06,3.5800804e-05,-0.00022642416,0.0
WIPI2,-0.0,-5.0412746e-07,0.00011126523,-0.00043523565,0.0004137712
ARHGEF17,0.0,-1.4074697e-05,6.892867e-05,-0.0003038639,0.000114184055
CDKN1A,0.0,0.0,0.0,-0.0,-0.0
ACADVL,0.0,7.2076596e-06,3.670021e-05,-0.0,0.00022492143
DVL2,0.0,-8.63128e-06,8.704462e-05,-0.00051822275,0.00017297154
DLG4,0.0,-1.0402395e-05,8.409714e-05,-0.0005160811,0.00011636757
