,Ovary-AdenoCA,CNS-PiloAstro,Liver-HCC,Panc-Endocrine,Kidney-RCC,Prost-AdenoCA,Thy-AdenoCA,ColoRect-AdenoCA,Lymph-BNHL,Uterus-AdenoCA,Breast-AdenoCA,Lung-AdenoCA,Panc-AdenoCA,Eso-AdenoCA,Head-SCC,CNS-Medullo,CNS-GBM,Skin-Melanoma,Lymph-CLL,Kidney-ChRCC,Stomach-AdenoCA,Lung-SCC,Bone-Osteosarc,Myeloid-MPN
A.CA.A,0.2,0.56,0.12727272727272726,0.2648401826484018,0.7567567567567568,0.17204301075268819,0.3333333333333333,0.5,0.9330708661417323,0.2882882882882883,0.37790697674418605,0.1111111111111111,0.29069767441860467,0.07228915662650602,0.45454545454545453,0.25,0.45263157894736844,0.46808510638297873,0.0,0.4,0.0,0.18181818181818182,0.0,0.625
A.CA.C,0.3,1.0,0.10909090909090909,0.2694063926940639,0.13513513513513514,0.3118279569892473,0.2222222222222222,0.0,0.421259842519685,0.018018018018018018,0.6162790697674418,0.0,0.16279069767441862,0.08433734939759036,0.36363636363636365,0.2916666666666667,0.3263157894736842,0.0,0.0,0.06666666666666667,0.0,0.13636363636363635,0.0,0.5
A.CA.G,0.11428571428571428,0.24,0.18181818181818182,0.2465753424657534,0.21621621621621623,0.25806451612903225,0.2222222222222222,0.0,0.8188976377952756,0.12612612612612611,0.313953488372093,0.4444444444444444,0.47674418604651164,0.060240963855421686,0.18181818181818182,0.375,0.4631578947368421,0.46808510638297873,0.2,0.26666666666666666,0.16666666666666666,0.0,0.012048192771084338,0.375
A.CA.T,0.4714285714285714,0.66,0.07272727272727272,0.2785388127853881,0.527027027027027,0.25806451612903225,0.3888888888888889,0.0,0.3937007874015748,0.02702702702702703,0.5697674418604651,0.1111111111111111,0.09302325581395349,0.012048192771084338,0.2727272727272727,0.5416666666666666,0.2631578947368421,0.1702127659574468,0.0,0.0,0.0,0.18181818181818182,0.0,0.5
A.CG.A,0.5,0.76,0.3090909090909091,0.3287671232876712,0.6486486486486487,0.2903225806451613,0.7222222222222222,0.5,0.09448818897637795,0.036036036036036036,0.7093023255813954,0.3333333333333333,0.0,0.6265060240963856,0.7272727272727273,0.2916666666666667,0.23157894736842105,0.0,0.2,0.13333333333333333,0.3333333333333333,0.09090909090909091,0.39759036144578314,0.375
A.CG.C,0.32857142857142857,0.34,0.12727272727272726,0.2694063926940639,0.5675675675675675,0.07526881720430108,0.2777777777777778,0.0,0.3188976377952756,0.04504504504504504,0.5813953488372093,0.1111111111111111,0.08139534883720931,0.14457831325301204,0.36363636363636365,0.16666666666666666,0.3894736842105263,0.0,0.2,0.06666666666666667,0.0,0.0,0.03614457831325301,0.0
A.CG.G,0.5714285714285714,0.3,0.38181818181818183,0.7168949771689498,0.0945945945945946,0.043010752688172046,0.2777777777777778,0.0,0.18110236220472442,0.04504504504504504,0.7267441860465116,0.5555555555555556,0.13953488372093023,0.3614457831325301,0.45454545454545453,0.5,0.3263157894736842,0.02127659574468085,0.0,0.0,0.16666666666666666,0.0,0.21686746987951808,0.0
A.CG.T,0.5857142857142857,0.38,0.34545454545454546,0.1963470319634703,0.6891891891891891,0.053763440860215055,0.2777777777777778,0.0,0.10236220472440945,0.05405405405405406,0.7325581395348837,0.0,0.13953488372093023,0.7469879518072289,0.2727272727272727,0.5416666666666666,0.25263157894736843,0.06382978723404255,0.0,0.0,0.0,0.09090909090909091,0.3132530120481928,0.0
A.CT.A,0.6285714285714286,0.12,0.2,0.730593607305936,0.33783783783783783,0.23655913978494625,0.3888888888888889,0.0,0.11811023622047244,0.3063063063063063,0.6162790697674418,0.6666666666666666,0.12790697674418605,0.24096385542168675,0.6363636363636364,0.25,0.5473684210526316,0.0,0.0,0.0,0.8333333333333334,0.5,0.5301204819277109,0.375
A.CT.C,0.6,0.12,0.14545454545454545,0.8356164383561644,0.14864864864864866,0.46236559139784944,0.4444444444444444,0.0,0.3188976377952756,0.17117117117117117,0.9069767441860465,0.2222222222222222,0.11627906976744186,0.0963855421686747,0.45454545454545453,0.041666666666666664,0.14736842105263157,0.0,0.0,0.0,0.0,0.09090909090909091,0.13253012048192772,0.0
A.CT.G,0.5857142857142857,0.12,0.9454545454545454,0.5388127853881278,0.7297297297297297,0.16129032258064516,0.3333333333333333,0.5,0.41732283464566927,0.1891891891891892,0.6976744186046512,0.0,0.19767441860465115,0.5060240963855421,0.45454545454545453,0.7916666666666666,0.1368421052631579,0.0,0.6,0.0,1.0,0.6818181818181818,0.24096385542168675,0.0
A.CT.T,0.6857142857142857,0.24,0.2,0.730593607305936,0.21621621621621623,0.4946236559139785,0.3888888888888889,0.0,0.14960629921259844,0.11711711711711711,0.7267441860465116,0.3333333333333333,0.03488372093023256,0.04819277108433735,0.45454545454545453,0.16666666666666666,0.18947368421052632,0.0,0.0,0.0,0.0,0.09090909090909091,0.14457831325301204,0.0
A.TA.A,0.44285714285714284,0.16,0.0,0.1095890410958904,0.21621621621621623,0.043010752688172046,0.3333333333333333,0.0,0.20866141732283464,0.09009009009009009,0.6395348837209303,0.3333333333333333,0.023255813953488372,0.12048192771084337,0.36363636363636365,0.5416666666666666,0.24210526315789474,0.0,0.0,0.0,0.0,0.045454545454545456,0.012048192771084338,0.0
A.TA.C,0.08571428571428572,0.08,0.07272727272727272,0.8538812785388128,0.36486486486486486,0.12903225806451613,0.2777777777777778,0.0,0.31496062992125984,0.9459459459459459,0.563953488372093,0.6666666666666666,0.1744186046511628,0.1686746987951807,0.18181818181818182,0.16666666666666666,0.37894736842105264,0.0,0.0,0.0,0.6666666666666666,0.9090909090909091,0.03614457831325301,0.5
A.TA.G,0.14285714285714285,0.44,0.05454545454545454,0.3926940639269406,0.43243243243243246,0.26881720430107525,0.16666666666666666,0.0,0.84251968503937,0.9459459459459459,0.27906976744186046,0.4444444444444444,0.16279069767441862,0.12048192771084337,0.2727272727272727,0.16666666666666666,0.2736842105263158,0.2978723404255319,0.0,0.06666666666666667,0.0,0.5454545454545454,0.0,0.75
