,median,mean,std,min,max
A.CA.A,0.00046438444,0.001032219,0.008290734,-0.02365777,0.022575572
A.CA.C,0.00055818923,0.0005491231,0.0050876336,-0.01948534,0.012756232
A.CA.G,0.00059598393,0.0011933731,0.009581241,-0.027205639,0.022431506
A.CA.T,0.0026481163,0.00276731,0.0068752007,-0.025383435,0.022631472
A.CG.A,0.0003072391,0.00083600817,0.006156676,-0.014101356,0.015601061
A.CG.C,-0.0008356046,0.0013016111,0.0086133545,-0.020698378,0.018691285
A.CG.G,-0.0006464035,-0.0009409927,0.0047252267,-0.015758563,0.010421031
A.CG.T,0.00035399897,0.0013099513,0.005730125,-0.011543883,0.021144876
A.CT.A,0.0133183235,0.012748426,0.020657241,-0.028096803,0.062704004
A.CT.C,-1.4395783e-05,-0.00053973566,0.0014586219,-0.0050695413,0.0019663642
A.CT.G,-0.005506079,-0.006855762,0.008996387,-0.044764247,0.010721273
A.CT.T,0.000876963,0.0005811064,0.004706293,-0.008729333,0.009427218
A.TA.A,0.00015571018,0.00018828508,0.0023774244,-0.0057196696,0.010008918
A.TA.C,0.009427171,0.005178763,0.0150788175,-0.027943442,0.032505635
A.TA.G,0.0023243327,0.0016611336,0.007896592,-0.025648855,0.02249529
A.TA.T,-2.4853547e-05,-0.00035797307,0.0031270906,-0.0072541325,0.0073043182
A.TC.A,-0.00082383514,0.0013237179,0.008345661,-0.012246824,0.0175929
A.TC.C,8.255178e-05,0.00041044664,0.0040077744,-0.008670704,0.012538957
A.TC.G,-0.00014999435,0.0011396086,0.0064812712,-0.010681349,0.018506132
A.TC.T,0.0003745689,0.0009848705,0.004484115,-0.0079925265,0.018693496
A.TG.A,0.02033428,0.021286957,0.019411175,-0.0085675595,0.06386142
A.TG.C,0.0015588397,0.0026607704,0.006503173,-0.014504319,0.023228794
A.TG.G,0.0008846967,0.00067504623,0.0041170865,-0.009672612,0.012632758
A.TG.T,-0.0006632287,-0.001038438,0.0025470185,-0.007783105,0.0046485066
C.CA.A,-7.8321806e-05,-0.00094306085,0.007309138,-0.018626833,0.015917676
C.CA.C,0.0032219035,0.005726789,0.014052436,-0.027501015,0.035598174
C.CA.G,-2.4195348e-05,0.0010796242,0.009191801,-0.041380934,0.020664947
C.CA.T,-0.0013804648,-0.0022870635,0.0045148944,-0.021674272,0.008847401
C.CG.A,-9.3581046e-05,0.00015623745,0.0038526456,-0.00920284,0.010177924
C.CG.C,0.0007080039,0.00089234073,0.0066508814,-0.01986965,0.021455208
C.CG.G,0.006350901,0.007873113,0.013500862,-0.05981706,0.03898402
C.CG.T,-3.771932e-05,0.00024244365,0.0050980183,-0.011310218,0.019422486
C.CT.A,9.4674164e-05,0.00018542695,0.0010151224,-0.00420966,0.0028072486
C.CT.C,0.00073836005,0.0012964589,0.0017001048,-0.00113337,0.006459603
C.CT.G,-0.0026429081,-0.0037900705,0.00590795,-0.030913848,0.005641952
C.CT.T,4.1711388e-05,6.642201e-05,0.0010944415,-0.0039396216,0.0023612443
C.TA.A,-0.0011052596,-0.00073773414,0.0032424775,-0.00799088,0.00661149
C.TA.C,0.0021245352,0.0022489082,0.006497212,-0.016122177,0.016499199
C.TA.G,0.00012942532,0.0005937764,0.005379634,-0.037870385,0.0097350115
C.TA.T,-0.0006586833,-0.0005816767,0.0028179337,-0.01004303,0.007586922
C.TC.A,-0.0007228989,-0.00087935425,0.0017768239,-0.005363879,0.0040800795
C.TC.C,-0.0011243493,-0.001345551,0.0020464547,-0.007530863,0.0072382702
C.TC.G,-0.00031206786,-0.00092519395,0.005726692,-0.023336118,0.010521124
C.TC.T,-0.0006923268,-0.0013009998,0.0029106017,-0.013729309,0.0046738097
C.TG.A,0.044534203,0.045075674,0.035790518,-0.023427391,0.12431099
C.TG.C,-0.00010941888,-0.00073397567,0.002154742,-0.007601795,0.003822508
C.TG.G,0.0009403652,0.00068830344,0.004118619,-0.009740391,0.009764802
C.TG.T,-9.533772e-05,-0.0007826252,0.003408181,-0.018934572,0.0052978606
G.CA.A,0.006878869,0.0068959678,0.021700663,-0.030992957,0.061257977
G.CA.C,-0.0012976967,-0.0009094752,0.0057466524,-0.018428186,0.010008061
G.CA.G,0.0055534197,0.0072120368,0.016970199,-0.062256735,0.045921635
G.CA.T,0.0059271855,0.0041737733,0.012675024,-0.01983043,0.034012932
G.CG.A,-0.0002311343,-0.000862001,0.0065639694,-0.021628292,0.019244907
G.CG.C,-0.0008377232,-0.0007753408,0.009499534,-0.042220112,0.01804808
G.CG.G,0.0016157735,0.0015053799,0.008159206,-0.018471627,0.017313266
G.CG.T,0.024932962,0.02723435,0.035203364,-0.040374923,0.1414459
G.CT.A,0.0011867341,0.0015719505,0.005200016,-0.013793027,0.013092116
G.CT.C,-8.480918e-05,-0.00025834428,0.0018335775,-0.007863152,0.0038764414
G.CT.G,-0.0038918192,-0.006580066,0.008218797,-0.03976523,0.0062054154
G.CT.T,0.0027463655,0.002078233,0.007213147,-0.015304928,0.020921428
G.TA.A,0.005240098,0.005929812,0.010648369,-0.017864926,0.040235844
G.TA.C,0.018346786,0.0236397,0.039167594,-0.043640506,0.16571313
G.TA.G,0.00013385885,0.00026039575,0.007899173,-0.018145658,0.019072885
G.TA.T,0.0028480233,0.00031557475,0.0074960305,-0.017777417,0.012994634
G.TC.A,7.986044e-05,-0.0010683899,0.0070679113,-0.017735077,0.014569926
