,median,mean,std,min,max
A.CA.A,-0.006339344,-0.006210726,0.0070958785,-0.026324999,0.01319068
A.CA.C,-0.0019359391,-0.0021606588,0.0041713137,-0.012974599,0.009690796
A.CA.G,-0.0053608995,-0.0069561573,0.0070826565,-0.029541384,0.008678004
A.CA.T,-0.010348683,-0.010508464,0.0064927605,-0.029758867,0.007887354
A.CG.A,0.008889217,0.0098202955,0.007950452,-0.012900226,0.02617207
A.CG.C,-0.0011158608,-0.0013501457,0.005071696,-0.0142890075,0.012897871
A.CG.G,0.0032167581,0.003048845,0.0052157063,-0.009713145,0.016816024
A.CG.T,0.013168118,0.01257667,0.005820006,-0.0017642105,0.024464905
A.CT.A,0.0013511195,0.0021317876,0.00498699,-0.009582277,0.011012781
A.CT.C,-0.0019713745,-0.0021081602,0.001955209,-0.00749591,0.0018934327
A.CT.G,0.005675733,0.005566173,0.008357995,-0.020553991,0.022319838
A.CT.T,-0.0030679908,-0.0029316472,0.0027112062,-0.010753766,0.0022617956
A.TA.A,-0.0010770397,-0.0012798135,0.003614653,-0.02951034,0.0031161904
A.TA.C,-0.007537552,-0.006460263,0.017515669,-0.041015226,0.05946965
A.TA.G,-0.010142338,-0.008023272,0.015560408,-0.03224336,0.06249612
A.TA.T,0.00464762,0.0050496324,0.003167068,-0.006327554,0.01167364
A.TC.A,-0.0014532277,-0.0010366396,0.005131179,-0.012701931,0.013339442
A.TC.C,-0.003870322,-0.003994751,0.002968431,-0.011872249,0.0050402954
A.TC.G,-0.013814012,-0.012766354,0.007166495,-0.0271158,0.014070421
A.TC.T,-0.011252245,-0.010550183,0.0076334844,-0.024631573,0.026585262
A.TG.A,-0.00039796598,-0.0010124992,0.004130652,-0.013302511,0.012532674
A.TG.C,0.012718772,0.011715288,0.00860519,-0.034882676,0.025435824
A.TG.G,0.005280625,0.0052015684,0.0057472684,-0.015444621,0.018737707
A.TG.T,0.0019280224,0.0018133004,0.0018728968,-0.0028396568,0.0058614616
C.CA.A,-7.574051e-05,-0.0004929076,0.004858089,-0.011137765,0.0134046255
C.CA.C,0.004339779,0.004627364,0.0053599924,-0.007967969,0.018193565
C.CA.G,0.021873599,0.022235358,0.0065901475,0.00069960253,0.043087214
C.CA.T,0.0066946875,0.006770664,0.0042097927,-0.0036732825,0.016277358
C.CG.A,0.0034788114,0.0033277438,0.0047729714,-0.015596147,0.014585346
C.CG.C,0.0106087355,0.011334821,0.0052081286,-0.007502132,0.024462631
