,median,mean,std,min,max
A.CA.A,0.0027544268,0.0065266658,0.01480302,-0.014482905,0.03116107
A.CA.C,0.00014784539,-0.00019030213,0.009855197,-0.026743641,0.009504938
A.CA.G,-0.0012822797,-0.0031976707,0.008388121,-0.021706808,0.006135391
A.CA.T,-0.0005692237,0.0011922363,0.011334285,-0.02204565,0.018365555
A.CG.A,0.032359686,0.036183182,0.030773649,-0.01838919,0.072634734
A.CG.C,0.0016339927,0.0030891334,0.011817862,-0.01704654,0.027048316
A.CG.G,0.0016246112,-0.0004852134,0.016464943,-0.04286111,0.01993007
A.CG.T,0.0015835875,0.0028896073,0.005660119,-0.0046860743,0.0116910925
A.CT.A,0.056208197,0.047550034,0.056055028,-0.025028566,0.15839322
A.CT.C,0.00081217266,0.0008692486,0.0018412966,-0.0026294414,0.0039827586
A.CT.G,0.004742825,0.010893106,0.03443321,-0.036262024,0.08493634
A.CT.T,0.0012529807,0.0014064156,0.0035645214,-0.0055437814,0.0073267356
A.TA.A,0.0011723142,0.0020113538,0.0033025213,-0.0028028844,0.0064681633
A.TA.C,-0.005444223,-0.006933798,0.009325517,-0.02835286,0.0038796542
A.TA.G,-0.00051660574,-0.0018438752,0.003964363,-0.009964974,0.003111376
A.TA.T,4.9277503e-05,0.0011106635,0.0026692152,-0.0024957021,0.0073065227
A.TC.A,-0.00011413599,-0.0019180938,0.0050035296,-0.011050497,0.0050421767
A.TC.C,-0.001583191,-0.00018416467,0.005646531,-0.008717449,0.011403807
A.TC.G,0.0006833645,0.002734084,0.01317379,-0.021304624,0.03343524
A.TC.T,-0.0019150829,-0.0023615004,0.007642085,-0.0111064315,0.015682252
A.TG.A,0.00030831853,0.0019576082,0.004700854,-0.003927488,0.008841806
A.TG.C,0.0012520383,-0.0014146599,0.008024192,-0.015476974,0.0076509956
A.TG.G,0.002887712,0.0069719492,0.010343118,-0.0057775476,0.029462412
A.TG.T,0.00039519081,0.0013021068,0.0027032872,-0.0018013491,0.0081343055
C.CA.A,0.013011203,0.012389523,0.013506171,-0.011092366,0.033371218
C.CA.C,-0.0023597819,-0.0018210646,0.009624355,-0.017997216,0.013620369
C.CA.G,0.00013417077,0.0007431637,0.009120477,-0.012605546,0.021335889
C.CA.T,-0.0009841387,-0.000871942,0.004415543,-0.006630184,0.007205212
C.CG.A,-0.0019614636,-0.0030181187,0.005854195,-0.013143053,0.008681241
C.CG.C,0.000111192654,-0.0025994247,0.008575552,-0.014437105,0.013335206
C.CG.G,0.00063391234,-0.0019586964,0.014325525,-0.030721446,0.016645283
C.CG.T,-0.0003178006,-0.0007579837,0.0038218647,-0.0067601423,0.0078023886
C.CT.A,0.0005514869,0.001060309,0.0013948824,-0.00028599185,0.0038351193
C.CT.C,0.0020090763,0.0016864804,0.0014651204,-0.00020224959,0.004435157
C.CT.G,0.0025587804,0.011393199,0.027554108,-0.0018866786,0.09351014
C.CT.T,0.002068255,0.0022568782,0.0020333042,-0.0003769977,0.005052782
C.TA.A,9.45466e-05,0.001394111,0.0033271157,-0.00301664,0.007883499
C.TA.C,-0.002566181,-0.0040096384,0.0048560468,-0.011940763,0.0016388886
C.TA.G,0.001317127,0.0019696918,0.002891644,-0.0012974464,0.0077330023
C.TA.T,0.0014603436,0.0026666366,0.0051546595,-0.005666731,0.012478058
C.TC.A,7.038339e-05,-0.00016302046,0.0057101864,-0.00937284,0.012278335
C.TC.C,0.0027472037,0.0022102382,0.005831818,-0.006149814,0.015161328
C.TC.G,0.00087352877,0.00025358613,0.006431011,-0.010106373,0.012636167
C.TC.T,0.0010440375,0.0011065849,0.00428262,-0.00433617,0.0115652485
C.TG.A,0.0027743303,0.004623681,0.0076784356,-0.006305993,0.020446053
C.TG.C,0.00076246134,0.0010872541,0.0010891471,-0.00074636564,0.0029729824
C.TG.G,-0.00030040063,1.6186947e-05,0.002853751,-0.0051559457,0.0046889386
C.TG.T,0.001495398,0.0014147117,0.0031774966,-0.0031387396,0.0064927395
G.CA.A,0.0073577673,0.019284563,0.028090745,-0.014850157,0.06913063
G.CA.C,-0.004019832,-0.0041258144,0.009632406,-0.017305797,0.01376934
G.CA.G,-0.0004490576,-0.0050737443,0.009397752,-0.023857635,0.002628831
G.CA.T,-0.0043240357,-0.005635235,0.008555698,-0.023988478,0.004283032
G.CG.A,0.0011531172,0.0030903423,0.010403118,-0.017483719,0.018746182
G.CG.C,0.001232165,0.00031591006,0.004984741,-0.009580325,0.0065809023
G.CG.G,-0.0024233067,-0.0038088912,0.003838755,-0.012178921,0.0013455774
