,median,mean,std,min,max
A.CA.A,0.030089488,0.026555387,0.024392042,-0.024977418,0.07618781
A.CA.C,-0.0035095154,-0.0029884656,0.009137132,-0.031066015,0.014890035
A.CA.G,-0.00037973397,-0.0024116542,0.009516709,-0.06299731,0.010750724
A.CA.T,0.0054025287,0.0058023585,0.011132746,-0.019824145,0.028138319
A.CG.A,0.014496231,0.014107941,0.0145607935,-0.018650219,0.048344973
A.CG.C,0.0055074967,0.008431709,0.011033674,-0.013599228,0.0463824
A.CG.G,-0.0022791638,-0.0045454996,0.007592044,-0.027745448,0.007980605
A.CG.T,0.012251689,0.0110904975,0.010956475,-0.011964018,0.035872966
A.CT.A,0.0017902756,0.002805206,0.0058694375,-0.014747861,0.021830613
A.CT.C,-6.2713276e-05,-0.0003223046,0.0011572812,-0.0036108512,0.0028126005
A.CT.G,0.021397378,0.022560503,0.023271149,-0.0254875,0.06938645
A.CT.T,0.00014969462,0.00021773452,0.001371155,-0.0031714698,0.0036763449
A.TA.A,-0.00030710798,0.0020466594,0.02177756,-0.010367251,0.18342249
A.TA.C,-7.5135686e-05,0.0021372847,0.0126404455,-0.025040431,0.030714875
A.TA.G,0.0036361162,0.0047991113,0.011010227,-0.016287982,0.051287692
A.TA.T,0.00468999,0.0044002337,0.0053136004,-0.00857372,0.015302434
A.TC.A,-0.0009438887,-0.0014971297,0.003585126,-0.012094184,0.007841611
A.TC.C,0.0018838001,0.0028170117,0.005272837,-0.009171284,0.017382288
A.TC.G,-0.0012757878,-0.0014500237,0.0039719753,-0.012892508,0.011078064
A.TC.T,-0.00040297996,-0.00153333,0.0043756207,-0.015321385,0.0052316464
A.TG.A,0.0015199538,0.0005339822,0.00600051,-0.0149716865,0.015520917
A.TG.C,0.02620394,0.023561195,0.022995543,-0.015138941,0.06691768
A.TG.G,0.015495742,0.014044494,0.015263547,-0.01894062,0.048911564
A.TG.T,0.00019551285,-5.512637e-05,0.0024002225,-0.006400355,0.004603289
C.CA.A,0.003917477,0.004105545,0.00938398,-0.017582208,0.02468715
C.CA.C,0.003536373,0.0032882227,0.008108717,-0.01777245,0.022308638
C.CA.G,-0.0008614538,-0.0027189273,0.0058241896,-0.028594995,0.00655053
C.CA.T,-0.00092628645,-0.0013791381,0.0051598167,-0.014695405,0.010235139
C.CG.A,-0.0036071963,-0.0060585393,0.008516952,-0.04081371,0.005635405
C.CG.C,0.011749096,0.011587487,0.011602264,-0.01539645,0.032430883
C.CG.G,-0.00033680478,-0.0024556257,0.011139286,-0.04058367,0.016124869
C.CG.T,0.010888435,0.009865364,0.011144896,-0.017690988,0.028728742
C.CT.A,-0.00025594537,-0.0005037642,0.0011379127,-0.00514509,0.0019512763
C.CT.C,-0.0006781138,-0.0008276695,0.001516657,-0.0057373703,0.002011354
C.CT.G,0.02237346,0.02254267,0.013868728,-0.0016821738,0.04715854
C.CT.T,-2.6313159e-05,-0.00026664665,0.0016115338,-0.0057687303,0.004049256
C.TA.A,0.003326369,0.010992374,0.030664084,-0.0139653,0.14499284
C.TA.C,-0.0003031402,-0.0007255568,0.004771004,-0.016463812,0.020646254
C.TA.G,0.0010003522,0.005595813,0.017881382,-0.008220277,0.11916396
C.TA.T,0.0005487163,0.00010899011,0.004270567,-0.017311063,0.008171692
C.TC.A,-0.00076606637,-0.0015140764,0.0026284156,-0.008352959,0.002819802
C.TC.C,0.006052275,0.006510779,0.0050450447,-0.003959328,0.021388246
C.TC.G,0.0009886348,0.0017272364,0.003939874,-0.0067672976,0.012207285
C.TC.T,0.0045278547,0.0055227294,0.00332733,0.00022350684,0.014450544
C.TG.A,-0.00037133868,-0.0011602343,0.0030238065,-0.010552787,0.0045541124
C.TG.C,0.00061042135,0.00071042514,0.0015881008,-0.003323122,0.004397178
C.TG.G,-4.6226243e-05,7.5962125e-05,0.0030854894,-0.009032827,0.010086894
C.TG.T,0.0048982585,0.0051459894,0.0028872476,0.0001776758,0.011678408
G.CA.A,0.0006247058,0.0009158335,0.0055335523,-0.03540825,0.0111968
G.CA.C,-0.0006066998,-0.0022881364,0.0045376043,-0.019127479,0.005086828
G.CA.G,-0.005731668,-0.007653491,0.015388475,-0.05345818,0.02332473
G.CA.T,1.5682452e-05,0.00047679184,0.0035154934,-0.00778553,0.008261122
G.CG.A,-0.0075595276,-0.011101017,0.014683423,-0.060339976,0.010952875
G.CG.C,0.0018153549,0.0025695304,0.006577711,-0.014286167,0.025663542
G.CG.G,-0.0030348848,-0.005480951,0.010841284,-0.03672376,0.014716421
G.CG.T,-0.004304203,-0.005683628,0.011045026,-0.029906325,0.01877623
G.CT.A,0.005326135,0.0037473505,0.007465689,-0.017172202,0.021436114
G.CT.C,-0.00047782614,-0.0011050698,0.0017247765,-0.0061470303,0.0013638318
G.CT.G,0.03133679,0.029297719,0.018653197,-0.007499893,0.065006435
G.CT.T,0.00011934235,0.00014424403,0.0017738306,-0.006189824,0.0047179027
G.TA.A,0.005928445,0.01087736,0.028341401,-0.015978903,0.1449986
G.TA.C,-0.001613692,-0.0022358992,0.015252005,-0.040518545,0.026726851
G.TA.G,0.0010379234,0.0010235264,0.0061384784,-0.012488409,0.038616117
G.TA.T,0.0017705692,0.0011473285,0.0065531465,-0.01572561,0.014398105
G.TC.A,0.0019858712,0.0028281012,0.0054972875,-0.009913704,0.020850284
G.TC.C,0.0078352615,0.008442173,0.0072495886,-0.0054218494,0.023184469
G.TC.G,-0.00015987235,-0.00095076405,0.0032254853,-0.014005819,0.008451056
G.TC.T,0.0007138159,0.0011067296,0.0028686735,-0.0060642585,0.007544604
G.TG.A,-0.0009445221,-0.0016439445,0.003286899,-0.012873927,0.004440659
G.TG.C,-0.000876472,-0.0017503854,0.0033328081,-0.01329047,0.0033584684
