,median,mean,std,min,max
A.CA.A,-0.009594357,-0.008155896,0.010373681,-0.024569588,0.019573297
A.CA.C,-0.007004099,-0.005587225,0.0068007237,-0.017873826,0.020298077
A.CA.G,-0.0024406118,-0.0032397092,0.005208194,-0.01753732,0.011772974
A.CA.T,-0.006293535,-0.0056496686,0.007105566,-0.022281587,0.01528956
A.CG.A,0.0024824396,0.0020147953,0.0086119855,-0.03914218,0.01463451
A.CG.C,-0.0073069674,-0.004991373,0.009845761,-0.017759664,0.045463093
A.CG.G,0.0024094072,0.0019277808,0.0057503395,-0.021114936,0.016501281
A.CG.T,0.0021012952,0.0024488335,0.004244292,-0.007775045,0.013882131
A.CT.A,0.00044704077,-4.6492994e-05,0.0041206535,-0.010525855,0.0073519815
A.CT.C,-0.0007100657,-0.0011747291,0.002125547,-0.0081330165,0.0021978794
A.CT.G,0.042367,0.038422946,0.015550706,-0.0129930945,0.06854339
A.CT.T,-0.00018556001,-0.00029803102,0.002399686,-0.006156147,0.004131683
A.TA.A,-0.0024384526,-0.002627892,0.0017215064,-0.006391155,0.002627222
A.TA.C,-0.0055557988,-0.007167886,0.008017544,-0.027851794,0.008067071
A.TA.G,-0.008796963,-0.0086993985,0.0070205433,-0.028079862,0.002790477
A.TA.T,0.0072380197,0.0073958207,0.0037803764,-0.004903827,0.017418228
A.TC.A,-0.008116528,-0.007374841,0.0049676523,-0.015374905,0.0069078677
A.TC.C,-0.004253224,-0.003963705,0.0035240676,-0.012749241,0.0034568717
A.TC.G,-0.008321624,-0.009109118,0.0075550815,-0.029602548,0.004937358
A.TC.T,-0.014924013,-0.014399275,0.008564531,-0.027941307,0.007766027
A.TG.A,-0.0034680772,-0.004593898,0.0035240594,-0.012911464,0.002206886
A.TG.C,-0.00055713544,-0.0010213591,0.0032272474,-0.009908191,0.0062570525
A.TG.G,0.0011119948,0.001043406,0.00487294,-0.01821729,0.010363174
A.TG.T,0.0023881795,0.0026944585,0.0025469712,-0.0014490499,0.009892506
C.CA.A,0.008101245,0.006958356,0.007453092,-0.027222812,0.019464573
C.CA.C,-0.007460981,-0.006396557,0.005926537,-0.017267175,0.009767187
C.CA.G,0.014622129,0.015092898,0.011380332,-0.022789849,0.03951651
C.CA.T,0.011060175,0.008996529,0.008631904,-0.030323787,0.02294947
C.CG.A,0.00025191644,-0.0002941752,0.0033455556,-0.012822827,0.007830813
C.CG.C,-0.008015769,-0.006997258,0.006310404,-0.019012507,0.0130280955
C.CG.G,0.006473602,0.007675449,0.005773061,-0.0021916667,0.026687818
C.CG.T,-0.006374127,-0.007066394,0.00457558,-0.018642638,0.000272389
C.CT.A,-0.00059831527,-0.00089125533,0.0019220783,-0.005694022,0.0021250995
