,median,mean,std,min,max
A.CA.A,0.0005268626,0.00077123154,0.008969448,-0.012548938,0.013983155
A.CA.C,0.0007964561,0.001006026,0.0032559456,-0.0041567427,0.006317572
A.CA.G,0.0068893125,0.0069140587,0.007919371,-0.0056050573,0.01922026
A.CA.T,0.0007124494,0.0021838623,0.005075783,-0.0069807214,0.011003943
A.CG.A,0.00012367453,0.0036414452,0.010872981,-0.010627554,0.022034125
A.CG.C,0.0002402764,0.0011601369,0.0034279115,-0.0027417082,0.008118766
A.CG.G,0.006602821,0.0067190407,0.0025927022,0.0014006072,0.010124364
A.CG.T,-0.004253302,-0.0047684642,0.0041009136,-0.01183714,-0.00059269264
A.CT.A,0.009581183,0.008762797,0.010967248,-0.0062799514,0.029497914
A.CT.C,0.0013554078,0.0015506734,0.0029083071,-0.002272451,0.007923877
A.CT.G,-0.0136269685,-0.010255221,0.011421078,-0.02284109,0.0069185966
A.CT.T,-0.00013139227,0.0012755543,0.0040736618,-0.0035089385,0.008252604
A.TA.A,0.001996388,0.0026689158,0.0023629365,-0.00025671834,0.0068412963
A.TA.C,0.014357119,0.015790066,0.009785774,0.00309944,0.027828852
A.TA.G,0.009552617,0.008884896,0.0047940947,0.00014397131,0.0153127955
A.TA.T,-0.003681905,-0.0031132218,0.002613039,-0.0062297895,0.0018179542
A.TC.A,0.00793875,0.008402331,0.0059355437,0.00025058578,0.01621215
A.TC.C,0.004206845,0.003549627,0.0054184883,-0.006144736,0.010177559
A.TC.G,0.008538888,0.010154872,0.0100803,-0.004779623,0.023501776
A.TC.T,0.015863223,0.014018108,0.010022095,-0.0036503547,0.025429813
A.TG.A,-0.00041152645,0.00016183566,0.0043563116,-0.005126943,0.008322637
A.TG.C,-0.0043154834,0.003597029,0.026321905,-0.01878864,0.05345525
A.TG.G,-0.00032791955,0.002388747,0.009008926,-0.007908153,0.018011866
A.TG.T,-0.002546255,-0.00116108,0.0032762643,-0.0037220155,0.0053746575
C.CA.A,0.0018703508,0.0031257481,0.007377403,-0.004466619,0.013498753
C.CA.C,0.005487604,0.0057390095,0.0047921203,-0.0012330866,0.011844778
C.CA.G,-0.0017440998,-0.0029957388,0.0057069873,-0.012193812,0.004190886
C.CA.T,-0.0045165834,-0.0035742996,0.006486666,-0.014034158,0.0048872367
C.CG.A,0.0046397895,0.0048557064,0.003820555,-0.0016473582,0.010754323
C.CG.C,0.008367053,0.008812062,0.005617274,-0.0012948709,0.016305402
C.CG.G,0.0091549065,0.010238394,0.0090843765,-0.0034636862,0.023233188
C.CG.T,0.009909013,0.009285447,0.0034579083,0.004135139,0.015927134
C.CT.A,0.00163427,0.0017386754,0.0018616989,-0.0011032695,0.0045548603
C.CT.C,0.0018251452,0.001963651,0.0018842606,-0.0004350112,0.0061692074
C.CT.G,-0.010332931,-0.007343424,0.007360492,-0.019051027,0.00088575075
C.CT.T,0.0015097604,0.0019340283,0.0020609368,-0.00044178162,0.0059201815
C.TA.A,0.00068561174,0.00066953717,0.0014634675,-0.0022974664,0.0024846378
C.TA.C,0.0014772443,0.00254735,0.005459549,-0.004478267,0.01018186
C.TA.G,0.0015200098,0.0011354462,0.0027149536,-0.0043268735,0.003531715
C.TA.T,-0.00090285536,-0.0013088131,0.003406002,-0.006234179,0.003696446
C.TC.A,0.0013134326,0.0010180041,0.002305094,-0.0028909894,0.00436241
C.TC.C,-0.0005609925,0.0007036126,0.002755152,-0.0026356776,0.0043964414
C.TC.G,-0.0018384759,0.00087145425,0.0050423495,-0.0029046622,0.009618641
C.TC.T,-0.00023193362,-0.0014725658,0.003105876,-0.006560018,0.0014999745
C.TG.A,-0.0032879582,-0.0013564201,0.005870212,-0.008326273,0.010993952
C.TG.C,-0.0013621676,-0.0012161573,0.0009250404,-0.0024863502,0.00036275192
C.TG.G,-0.0007767266,-0.0012741211,0.0057109566,-0.01488708,0.004408301
C.TG.T,-0.00017264544,-5.1427373e-06,0.0016332552,-0.001796175,0.0025188897
G.CA.A,-0.0111517515,-0.010160302,0.004081768,-0.015521137,-0.0035566892
G.CA.C,0.00023893804,0.0018410169,0.0076721837,-0.011849765,0.011750207
G.CA.G,-0.0024454973,-0.0039901263,0.016489243,-0.033444382,0.01891494
G.CA.T,-0.0004539705,-0.0011957886,0.0035554427,-0.009676028,0.0025894789
G.CG.A,0.009229804,0.007846243,0.010390881,-0.009344193,0.0233687
G.CG.C,0.0052811755,0.005916531,0.00407688,0.00012479525,0.012157015
G.CG.G,0.0020764098,0.00461128,0.0074484907,-0.0039712884,0.017126739
G.CG.T,0.0008895077,0.0015206356,0.0064702663,-0.009899261,0.01082259
G.CT.A,0.006173303,0.00892183,0.006992933,0.0006744206,0.019582545
G.CT.C,-0.0017664674,-7.864444e-05,0.005116708,-0.0041771033,0.0122404555
G.CT.G,-0.006369767,0.012070806,0.034680404,-0.025008291,0.06688386
G.CT.T,-0.001561208,-0.00042259056,0.0051923865,-0.0046491907,0.012384784
G.TA.A,0.0046826317,0.0039740195,0.002511273,0.00040024464,0.007154478
G.TA.C,-0.0031433764,-0.0042248573,0.004653423,-0.010887283,0.001393287
G.TA.G,0.009657558,0.008190126,0.003921258,0.0003979699,0.0129412245
G.TA.T,0.0028615005,0.0010041426,0.004165994,-0.0073397243,0.003991755
G.TC.A,0.0013011408,0.0005880636,0.004962618,-0.010447138,0.006271916
G.TC.C,-0.0016943009,0.007971016,0.016579133,-0.005651793,0.03223246
G.TC.G,0.0047965106,0.0028445781,0.004097424,-0.005557402,0.007072854
G.TC.T,0.0004639833,0.0013793616,0.0024922134,-0.0012923635,0.0070142094
G.TG.A,-0.002710697,-0.0023942548,0.0052809226,-0.008372856,0.0089741405
G.TG.C,1.8267843e-05,0.00057742465,0.0028368933,-0.0032873892,0.006353085
G.TG.G,0.015558076,0.0139575,0.009518001,-0.00018244819,0.025193984
G.TG.T,-0.00059990026,-0.001426403,0.0021246125,-0.0050516655,0.0011671068
T.CA.A,-0.0025636791,0.004237253,0.02194912,-0.018615354,0.041824218
T.CA.C,0.001123936,0.00040326343,0.0055295727,-0.008049802,0.00909598
T.CA.G,-0.0008297908,0.00066131813,0.010088715,-0.016313894,0.015046103
T.CA.T,0.07492582,0.10397383,0.128419,-0.030253286,0.34330994
T.CG.A,0.0012033589,0.0010264553,0.0017436305,-0.0017920015,0.0040359804
T.CG.C,-0.00022278166,-0.00035647803,0.0052477825,-0.01012886,0.008145142
T.CG.G,-0.0057126856,-0.006309237,0.00707628,-0.017898526,0.001969694
T.CG.T,0.0014507952,0.0010500606,0.004004559,-0.0077108326,0.0067045838
T.CT.A,0.0011450606,0.0011400256,0.0010173966,-5.6180834e-05,0.002978421
T.CT.C,0.0008968992,0.0008242847,0.0015132398,-0.0012754992,0.0034276973
T.CT.G,-0.0017216344,-0.0039675813,0.007209969,-0.019145919,0.0035147194
