,median,mean,std,min,max
A.CA.A,0.008209058,0.010283159,0.006714663,0.0040728673,0.019853406
A.CA.C,0.009030326,0.013081379,0.006704766,0.0070814174,0.020702574
A.CA.G,0.009621183,0.012842394,0.00830189,0.007375398,0.027283791
A.CA.T,0.004397538,-0.00023991885,0.014336833,-0.016487446,0.017204145
A.CG.A,0.020918671,0.022481468,0.005014738,0.019373365,0.031330068
A.CG.C,0.020887813,0.02019199,0.0037149445,0.015778203,0.023890402
A.CG.G,0.0048377668,0.003812794,0.0050998917,-0.0016943117,0.011209214
A.CG.T,0.0076099043,0.00616995,0.004336486,0.0013786629,0.011387092
A.CT.A,-0.0039837165,0.0027444663,0.012204775,-0.0075896294,0.017623976
A.CT.C,-0.004347188,-0.0043227896,0.000917741,-0.005380203,-0.0030754602
A.CT.G,0.02315981,0.0283068,0.015592184,0.007519837,0.04433245
A.CT.T,-0.0046962085,-0.0047555156,0.0011876248,-0.0063028135,-0.0032047168
A.TA.A,0.00043496056,0.00037868778,0.0011455588,-0.0008907653,0.001983369
A.TA.C,-0.015272772,-0.012560184,0.008924759,-0.019394005,0.0022463014
A.TA.G,-0.009386096,-0.00765796,0.011778278,-0.019853672,0.0066164765
A.TA.T,0.001808047,0.0011894795,0.0012851594,-0.0009455147,0.0021694016
A.TC.A,0.0022156453,0.0014565291,0.004380687,-0.003912207,0.005959283
A.TC.C,0.003154776,0.0040224423,0.0023124067,0.0020718842,0.0074508935
A.TC.G,-0.006976738,-0.006447284,0.0028486496,-0.010418675,-0.002643108
A.TC.T,-0.008648575,-0.0053618173,0.007115545,-0.011129597,0.006109273
A.TG.A,0.009198496,0.008355262,0.0020135958,0.004816951,0.009591006
A.TG.C,0.011238179,0.011408751,0.0014942657,0.009894453,0.013889471
A.TG.G,0.009135684,0.010341851,0.0028807435,0.0068452903,0.013744366
A.TG.T,-0.0038738751,-0.0044189207,0.0028164787,-0.008066725,-0.0015623118
C.CA.A,0.0061790626,0.0059015495,0.0009124157,0.004675918,0.0068125282
C.CA.C,0.00018941522,-0.0015817914,0.0063958294,-0.011842487,0.0055938535
C.CA.G,0.010794759,0.009789165,0.009723715,-0.0055066533,0.018679587
C.CA.T,-0.0060394416,-0.005988921,0.0048985607,-0.01136803,0.0015147144
C.CG.A,0.0047707916,0.0027525262,0.003742888,-0.0015670535,0.0066854428
C.CG.C,0.012346848,0.009222134,0.00517612,0.0027921326,0.013452998
C.CG.G,0.022911457,0.020860452,0.0048273,0.012486931,0.024351228
C.CG.T,-0.0032643003,-0.000918125,0.0045937914,-0.0054033725,0.004786372
C.CT.A,-0.0022263865,-0.0024568785,0.0014972789,-0.0047302004,-0.0010210205
C.CT.C,-0.0010256459,-0.0013207437,0.0018691571,-0.0040921685,0.00052843237
C.CT.G,0.011841247,0.01025608,0.010757153,-0.0069686836,0.020204488
C.CT.T,-0.0028429925,-0.0031406328,0.0015400661,-0.005358756,-0.0015375601
