,median,mean,std,min,max
A.CA.A,-0.0020108605,-0.0016896918,0.008454452,-0.018407928,0.022648992
A.CA.C,-0.009595305,-0.0040884214,0.021737171,-0.035647124,0.044845406
A.CA.G,-0.0040938193,-0.0055916747,0.0084006535,-0.04199013,0.010557433
A.CA.T,0.0004214134,0.0016820598,0.0090603065,-0.017419584,0.028724015
A.CG.A,0.004934712,0.00490583,0.01223251,-0.027857183,0.03184786
A.CG.C,-0.0027591921,0.0021464701,0.02145294,-0.026369879,0.059076864
A.CG.G,0.0012552376,0.0027719806,0.010086757,-0.012153645,0.050745472
A.CG.T,0.0021264106,0.0037025048,0.011287781,-0.016775679,0.039848257
A.CT.A,0.004575249,0.004640829,0.008734995,-0.011076503,0.024990674
A.CT.C,0.0017312637,0.00206023,0.0020600904,-0.0015635185,0.007901332
A.CT.G,0.0017667952,0.004199255,0.010991998,-0.020340936,0.041531228
A.CT.T,0.003420496,0.0032242965,0.0032103097,-0.0027677533,0.009075229
A.TA.A,0.00013194323,0.0005199911,0.0019491543,-0.0041861595,0.0069770776
A.TA.C,-0.004041933,-0.0062440378,0.0068860785,-0.026063401,0.003234307
A.TA.G,-0.0031872243,-0.003904034,0.005357139,-0.02324738,0.00973299
A.TA.T,5.259706e-05,-0.00025771803,0.0021826108,-0.0071866047,0.005061231
A.TC.A,-0.004024874,-0.0033745267,0.006673181,-0.017116936,0.013831804
A.TC.C,-0.008211953,-0.007605263,0.0076135583,-0.02499924,0.0061237253
A.TC.G,-0.0054442566,-0.004938928,0.0061700875,-0.019788118,0.007655506
A.TC.T,-0.007033473,-0.0067325816,0.008967321,-0.02568656,0.017259523
A.TG.A,-0.0033561017,-0.0027402926,0.0071550147,-0.019493094,0.012118918
A.TG.C,-0.005910075,-0.005936337,0.007135519,-0.024268696,0.0069123427
A.TG.G,0.005840632,0.006047095,0.006411368,-0.009998254,0.022323824
A.TG.T,0.0033422513,0.003788984,0.0029883373,-0.00010884949,0.014933052
C.CA.A,0.005832024,0.0070601385,0.009984656,-0.012018292,0.029551353
C.CA.C,0.0012646376,0.0010297316,0.0057356176,-0.01374778,0.014308525
C.CA.G,0.005534876,0.0060349605,0.00807409,-0.010373969,0.024295535
C.CA.T,0.011003199,0.006387917,0.011714335,-0.03150872,0.024447579
C.CG.A,-0.0029351735,-0.00442812,0.015109975,-0.05744768,0.052962493
C.CG.C,-0.0040579773,-0.0021472203,0.014743657,-0.025480054,0.060479436
C.CG.G,-0.002584396,0.01041287,0.036924884,-0.03537179,0.15767698
C.CG.T,-0.00012759733,-0.0005553306,0.008773369,-0.026005242,0.02633778
C.CT.A,0.001442526,0.0018223899,0.0017739723,-0.0018349314,0.005879416
C.CT.C,0.002020643,0.002344057,0.0022192325,-0.0042533427,0.010111012
C.CT.G,0.0023534545,0.00316713,0.0048359805,-0.01560756,0.017247504
C.CT.T,0.0026091929,0.0025938577,0.0019675987,-0.0036462143,0.0075101154
C.TA.A,0.0006375365,0.0011408544,0.0021868546,-0.0021881012,0.010182448
C.TA.C,0.0002526755,0.00053695426,0.0038205576,-0.0067087454,0.009548139
C.TA.G,0.0007305199,0.00015435189,0.0026316976,-0.006496014,0.005747842
C.TA.T,0.009180007,0.008593139,0.008969951,-0.010320315,0.026129453
C.TC.A,0.0057204785,0.0053647147,0.005726104,-0.003910116,0.021423511
C.TC.C,0.0055713933,0.0048285667,0.005353104,-0.0056634005,0.013534827
C.TC.G,0.00096042815,0.0015275438,0.004718911,-0.010612126,0.016934505
C.TC.T,0.009669837,0.009030706,0.005387904,0.00073888834,0.019727815
C.TG.A,0.007665872,0.0069276253,0.010410772,-0.015271621,0.04006307
C.TG.C,0.0001231205,0.00019745424,0.0020608187,-0.0032071746,0.005872847
C.TG.G,-0.00013270578,2.946092e-05,0.0038036,-0.009312022,0.009216372
C.TG.T,0.003903832,0.004461118,0.0033738194,-0.0028596295,0.011262788
G.CA.A,0.0025124727,0.0019494285,0.0076850117,-0.032490984,0.017705292
G.CA.C,-0.0053368886,-0.0037507364,0.009370401,-0.02199867,0.01958008
G.CA.G,-0.002193648,-0.00020513702,0.011021428,-0.020481639,0.033237163
G.CA.T,0.0025024014,0.0021563703,0.008119006,-0.036181502,0.016233161
G.CG.A,0.004420503,-8.189314e-05,0.022200728,-0.059351686,0.03348252
G.CG.C,-0.00071789254,-0.00044287165,0.008605303,-0.01551912,0.031071981
G.CG.G,-0.00073714816,-0.0017648407,0.007065765,-0.02615448,0.017556338
G.CG.T,0.0030501848,0.0061296355,0.012464688,-0.018161716,0.047491565
G.CT.A,-0.002513823,-0.0032477886,0.0045480262,-0.016131008,0.004900707
G.CT.C,0.0035468694,0.003993657,0.0027398253,-0.00074010197,0.014091364
G.CT.G,0.003547695,0.00518393,0.007308669,-0.01064732,0.02572276
G.CT.T,0.006669682,0.0061824066,0.0042712637,-0.0013456084,0.015692364
G.TA.A,-0.00018603518,2.5500982e-05,0.0036723278,-0.0073545324,0.012596874
G.TA.C,-0.0043698265,-0.004361688,0.014045958,-0.030664528,0.039385535
