,median,mean,std,min,max
A.CA.A,0.009512636,0.011414334,0.011137555,-0.0074264654,0.04142228
A.CA.C,0.005029535,0.005410591,0.0064447494,-0.011364401,0.026719058
A.CA.G,0.018746246,0.020345496,0.013410628,-0.004604286,0.071989365
A.CA.T,-0.001417295,-0.0028437995,0.0069842087,-0.017948145,0.009672286
A.CG.A,-0.007035299,-0.008931833,0.008154517,-0.04563431,0.0011229168
A.CG.C,0.002110656,0.0027297314,0.0046586893,-0.0068491423,0.026207497
A.CG.G,0.0011574121,0.0037571958,0.009108925,-0.0069879973,0.056421526
A.CG.T,0.0028146242,0.003805662,0.0066968515,-0.00973896,0.030092206
A.CT.A,0.0043975376,0.0031662607,0.0075575933,-0.0220488,0.018704645
A.CT.C,-0.00097562536,-0.0008154813,0.0013884676,-0.0037837587,0.0029533666
A.CT.G,0.004959304,0.007615982,0.012172553,-0.010406787,0.06103208
A.CT.T,-0.003775572,-0.0045679193,0.0031167772,-0.01397352,0.0007064475
A.TA.A,-0.003547262,-0.0040025814,0.0027730248,-0.014692087,0.0013201946
A.TA.C,0.0060107037,0.0059657227,0.005138665,-0.0046438253,0.016506588
A.TA.G,0.002960781,0.003568716,0.0032513023,-0.0020431892,0.015156942
A.TA.T,0.0012161847,0.0014804673,0.0018716209,-0.0027941416,0.007680768
A.TC.A,-0.002494982,-0.003208912,0.0029291462,-0.011586612,0.0049163084
A.TC.C,-0.0038745208,-0.0036875966,0.002765643,-0.010323357,0.0018152283
A.TC.G,-0.0020832457,-0.0024362365,0.0024140857,-0.008084243,0.005438305
A.TC.T,-0.0034015863,-0.0034686008,0.0037804686,-0.019927012,0.0044755586
A.TG.A,-0.0019242773,-0.002828508,0.0040305136,-0.01629109,0.0033368138
A.TG.C,0.0009786865,0.00079826266,0.0055871964,-0.016714107,0.020723328
A.TG.G,-0.008768478,-0.0094182165,0.0061627044,-0.030781494,0.0012223315
A.TG.T,0.004266708,0.0074863494,0.010546061,-0.0109504005,0.045591578
C.CA.A,-0.014422949,-0.015389996,0.0076740547,-0.037045214,-0.0029087213
C.CA.C,-0.011787774,-0.012960065,0.0073732017,-0.034991752,-0.0029674477
C.CA.G,-0.008971438,-0.009205448,0.005382449,-0.024135532,0.0035755243
C.CA.T,-0.004397927,-0.0055472665,0.0052537164,-0.026401227,0.00182465
