,median,mean,std,min,max
A.CA.A,-3.6949255e-05,0.003165333,0.00831098,-0.015953433,0.026403254
A.CA.C,7.172019e-05,0.004399669,0.01112278,-0.038175456,0.030416388
A.CA.G,0.00070854544,0.005229002,0.011709092,-0.020620242,0.028549623
A.CA.T,-0.0007142046,0.0036505936,0.010564521,-0.036764175,0.0246027
A.CG.A,0.00765867,0.011248864,0.037930485,-0.03888002,0.1384839
A.CG.C,0.0024742426,0.0044218767,0.0076041296,-0.00684118,0.03299384
A.CG.G,-0.0010183691,-0.0029318384,0.0072560427,-0.054829236,0.0052855876
A.CG.T,0.0010292499,0.00023434368,0.006405134,-0.017796868,0.019957349
A.CT.A,0.007770501,0.010560353,0.032081623,-0.027191246,0.23087074
A.CT.C,0.014727311,0.011897489,0.01607928,-0.0090913065,0.041874275
A.CT.G,0.00016998418,0.0038868503,0.011586438,-0.03984872,0.048491865
A.CT.T,0.0134253325,0.010895159,0.017026616,-0.014398963,0.04014915
A.TA.A,0.0017266027,0.0022617662,0.005090455,-0.010123516,0.019512177
A.TA.C,-0.0033505235,0.000212355,0.010961378,-0.020143116,0.03594964
A.TA.G,-0.0042286334,0.0019368571,0.012005574,-0.014805617,0.029858174
A.TA.T,0.00036788319,0.0012633267,0.0032571787,-0.0039639226,0.011437934
A.TC.A,6.0723523e-05,-5.983766e-05,0.0033630533,-0.01237686,0.008016607
A.TC.C,-0.0006445725,0.0021436298,0.006333434,-0.0102060605,0.019717587
A.TC.G,-0.0012425525,0.0018425052,0.007871375,-0.013723336,0.017809112
A.TC.T,-0.0011703857,-8.099823e-05,0.0056576077,-0.011525883,0.01734944
A.TG.A,0.006757633,0.005818697,0.00935509,-0.013143398,0.028265899
A.TG.C,0.003801756,0.0035055347,0.0049597276,-0.01022177,0.01552395
A.TG.G,0.029320776,0.026016952,0.040763404,-0.034570806,0.17334035
A.TG.T,-0.0004803188,0.00016165095,0.0026701177,-0.011012007,0.0070973127
C.CA.A,0.01447069,0.027981684,0.06180373,-0.0322017,0.3233969
C.CA.C,-0.00059135724,-0.0016735885,0.0036160545,-0.01201398,0.006536681
C.CA.G,0.0031120847,0.001578769,0.012611277,-0.025870478,0.039327137
C.CA.T,9.38942e-07,-0.00073536445,0.006185146,-0.017787755,0.022419468
C.CG.A,-0.00045851222,-0.0012246992,0.0035483069,-0.013884603,0.0068439012
C.CG.C,-4.420893e-05,0.00031507874,0.0035277351,-0.011295789,0.013642266
C.CG.G,-0.00079351506,-0.0010590616,0.004581786,-0.0148128625,0.01206416
C.CG.T,-0.00094566174,-0.0009676757,0.0040922724,-0.015881408,0.009288145
C.CT.A,0.016646149,0.013805179,0.017713845,-0.009883169,0.045389343
C.CT.C,0.01976153,0.01701571,0.020854013,-0.011273969,0.053572975
C.CT.G,0.0005455321,0.0009789345,0.0052634687,-0.0140191335,0.012702268
C.CT.T,0.016602393,0.013617908,0.018201439,-0.010638564,0.055219
C.TA.A,-0.00039282272,-7.1929455e-05,0.0019284473,-0.0047815945,0.006090868
C.TA.C,-0.00140184,-0.0003721832,0.0034673046,-0.006326832,0.00987757
C.TA.G,-0.00022109335,0.00096023886,0.0031824159,-0.0054764803,0.010007776
C.TA.T,-0.0011890896,-0.00063366594,0.004347642,-0.010946358,0.011240587
C.TC.A,-0.0028490392,-0.0017030359,0.0032512974,-0.008751505,0.0073055374
C.TC.C,-0.00078141503,0.00092504255,0.004865868,-0.0074868137,0.019723548
C.TC.G,-0.00096459023,3.7563987e-05,0.0044363346,-0.01075985,0.018071586
C.TC.T,-0.0022397444,-0.0013201099,0.0040438124,-0.008794542,0.008994312
C.TG.A,-0.00059202994,-0.00047782896,0.003626278,-0.011981684,0.011768027
C.TG.C,0.00016457672,0.0001048054,0.0030674003,-0.009808393,0.005333183
C.TG.G,-0.00071746367,-0.001625926,0.0054770843,-0.020009408,0.007758241
C.TG.T,0.000924694,0.0015127079,0.0034766297,-0.018319363,0.009819328
G.CA.A,0.00022958375,0.0028933352,0.005131577,-0.0060870512,0.01794102
G.CA.C,0.00050523295,0.0038919244,0.008053022,-0.019522145,0.018868387
G.CA.G,0.0023860915,0.0068988577,0.011555868,-0.011821594,0.037783846
G.CA.T,0.00029023632,0.0035053669,0.006670591,-0.0069232057,0.022631625
G.CG.A,0.0006232394,-0.00060426875,0.009777042,-0.02480579,0.027694851
G.CG.C,0.0011565142,0.0024247465,0.00732303,-0.012328232,0.039801165
G.CG.G,-0.0016969319,-0.0025242162,0.0043488797,-0.027837783,0.005258791
G.CG.T,-0.000950515,9.177152e-05,0.0066094534,-0.024910765,0.01653253
G.CT.A,-0.00092122424,0.00053729356,0.0060794884,-0.022722201,0.014894467
G.CT.C,0.010038304,0.008380196,0.013850269,-0.012168722,0.04633764
G.CT.G,0.000610214,0.005290762,0.013146215,-0.031258017,0.0435706
G.CT.T,0.00840589,0.0077039837,0.014185107,-0.0155419065,0.039414935
G.TA.A,-0.00041062266,0.0001346527,0.0032597352,-0.004926044,0.012596585
G.TA.C,-0.0012517492,0.0014576779,0.007024331,-0.010463803,0.019641174
G.TA.G,0.0015560975,0.00065004,0.0042097787,-0.014394755,0.008091187
G.TA.T,-0.0018304861,-0.0011776749,0.0051023033,-0.012002176,0.011569282
G.TC.A,-0.00063265034,0.0018051427,0.007073423,-0.018759776,0.019139407
G.TC.C,-0.0005589036,0.0031158803,0.008451607,-0.021115823,0.023201652
G.TC.G,-0.00020278986,-7.4641655e-05,0.002752803,-0.006925647,0.009910345
G.TC.T,0.007305518,0.008536512,0.0150493,-0.011503601,0.04124059
G.TG.A,0.00015474607,0.0006706867,0.004475515,-0.010787385,0.013387599
G.TG.C,-0.00051095226,-4.5853696e-05,0.0030121487,-0.009136231,0.007754313
G.TG.G,0.018631186,0.018499205,0.02795577,-0.020397807,0.11027181
G.TG.T,-0.00044355873,-0.000121502286,0.0037409319,-0.011760203,0.010012125
T.CA.A,0.0006532481,0.0015773823,0.0038231695,-0.012575902,0.012264495
T.CA.C,-0.0024812727,0.0003290099,0.006877189,-0.009487083,0.020738356
