,median,mean,std,min,max
A.CA.A,0.0025354181,0.0024127567,0.013200644,-0.033566665,0.020757768
A.CA.C,0.0010339738,0.0016810294,0.0050443937,-0.007637834,0.01237629
A.CA.G,-0.0010136613,-0.0040084375,0.011508564,-0.038647376,0.016313598
A.CA.T,0.0006985466,0.0041222884,0.012397657,-0.017370705,0.029577376
A.CG.A,0.0024736985,0.007242324,0.012544976,-0.006803872,0.036840778
A.CG.C,-0.00035006975,0.0020288134,0.007738474,-0.007496888,0.016854389
A.CG.G,0.0005198158,0.0013474018,0.0052541737,-0.008294823,0.013728935
A.CG.T,0.0018920633,0.0015717632,0.0060226764,-0.0100473,0.012719223
A.CT.A,0.0067227725,0.006683586,0.0077379565,-0.00702306,0.020206487
A.CT.C,0.0007735741,0.0015507125,0.002647816,-0.0015088489,0.0071851327
A.CT.G,0.0034383666,-9.552515e-05,0.026138049,-0.04344809,0.08374
A.CT.T,0.0009948252,0.0020656192,0.0032428133,-0.0019290985,0.009299685
A.TA.A,0.00076841936,0.00080070226,0.0037310526,-0.004739392,0.008546456
A.TA.C,-0.0007960617,0.0015657662,0.012654844,-0.02299923,0.029363738
A.TA.G,-0.0029093795,-0.003744473,0.009064071,-0.01823417,0.009534592
A.TA.T,0.00046722696,0.0007305551,0.0020048732,-0.0034422465,0.005761092
A.TC.A,0.00094756193,0.0013102602,0.009558341,-0.022094078,0.017274698
A.TC.C,0.00084039965,0.0017696313,0.004795552,-0.004834129,0.014611403
A.TC.G,-0.00026050635,0.0012347582,0.0061951354,-0.014651267,0.010037122
A.TC.T,2.8513547e-05,-6.649349e-05,0.006604326,-0.014044418,0.01469832
A.TG.A,0.0011406249,0.0018682575,0.004986566,-0.008217309,0.011758656
A.TG.C,0.0016035215,0.0029453286,0.005056277,-0.0028629107,0.018583028
A.TG.G,0.00054850185,0.0032332237,0.00978065,-0.01761525,0.021144686
A.TG.T,0.0012519597,0.005235666,0.011958363,-0.006405336,0.0452082
C.CA.A,-0.00031835662,0.0006866787,0.007846738,-0.015619665,0.019332623
C.CA.C,0.000117296004,4.5068406e-05,0.01448989,-0.026615895,0.028547516
C.CA.G,0.0020032234,0.002645198,0.013664187,-0.020071844,0.032389414
C.CA.T,-0.000104768646,0.0018425836,0.010285817,-0.008097537,0.035296246
C.CG.A,0.0022751167,0.002510921,0.0065136156,-0.008345141,0.016775623
C.CG.C,0.0020119774,0.002211474,0.0072394237,-0.011055548,0.020249093
C.CG.G,0.01619304,0.0209773,0.020704316,-0.009560724,0.07042626
C.CG.T,0.002322489,0.0016068979,0.004598397,-0.005852031,0.009956675
C.CT.A,0.002200719,0.0026489585,0.0023530112,-0.00071820576,0.007526805
