,median,mean,std,min,max
A.CA.A,0.0029458457,0.003170603,0.009048057,-0.019557478,0.02094866
A.CA.C,-0.010042588,-0.011419158,0.009071266,-0.030492388,0.028193107
A.CA.G,-0.0006813707,-0.0027317246,0.008790973,-0.025311489,0.015328593
A.CA.T,-0.012187105,-0.012709378,0.009251322,-0.037014004,0.025372515
A.CG.A,-0.019810427,-0.019677341,0.015600074,-0.044004742,0.056047063
A.CG.C,-0.013252608,-0.012187868,0.009969885,-0.031101279,0.041495178
A.CG.G,-0.010795011,-0.010827584,0.008474824,-0.030162128,0.016818032
A.CG.T,-0.010733397,-0.009903621,0.006842397,-0.027150389,0.021143273
A.CT.A,0.0012301613,0.0021503381,0.0087205265,-0.024925359,0.03076771
A.CT.C,-0.0021696365,-0.0017436075,0.002473103,-0.0069433916,0.0040985565
A.CT.G,-0.015709663,-0.0077686724,0.027389767,-0.04726313,0.11300426
A.CT.T,-0.005272468,-0.0043848203,0.003976011,-0.013227437,0.0044875373
A.TA.A,-0.001326396,-0.001436718,0.0026086136,-0.008885906,0.0042280816
A.TA.C,0.02529308,0.02482126,0.01090777,-0.0035725452,0.044353765
A.TA.G,0.02176111,0.019143917,0.008922213,-0.009129492,0.043018967
A.TA.T,0.00011902809,-3.0838055e-05,0.002299723,-0.0057121236,0.0048746224
A.TC.A,0.0111186765,0.011236724,0.005546343,-0.0024900518,0.021588542
A.TC.C,-0.0020239328,-0.0025057904,0.004515403,-0.015618955,0.0050690393
A.TC.G,0.011662287,0.011343024,0.0061278595,-0.004996772,0.026457451
A.TC.T,0.011838185,0.011194195,0.006505604,-0.006103399,0.022169665
A.TG.A,-0.0037615683,-0.003971165,0.004557615,-0.01735575,0.008627018
A.TG.C,-0.0035832347,-0.0035576643,0.005457624,-0.017514762,0.011283756
A.TG.G,-0.0051618186,-0.006422298,0.0064784097,-0.0222479,0.006170701
A.TG.T,0.0028468727,0.0033726778,0.0019975246,-0.0012515833,0.009975513
C.CA.A,-0.0055218562,-0.0056807017,0.0067468323,-0.019646678,0.009638139
